
e;49151;'parking';1;640
e;195814;'aire de stationnement';1;70
e;44769;'parcage';1;50
e;5955;'parc';1;986
e;130361;'garage';1;1302
e;125612;'stationnement';1;216
e;296951;'parc de stationnement';777;56
e;355876;'garage à étages';1;50
r;416618851;49151;14953193;5;10
r;416618852;49151;13471949;5;10
r;390936624;49151;12976639;5;25
r;3149542;49151;195814;5;31
r;54796636;49151;44769;5;57
r;692566;49151;5955;5;78
r;692565;49151;130361;5;85
r;1833993;49151;125612;5;163
r;88314914;49151;296951;5;185
r;401964538;15081091;49151;5;10
r;413818092;355876;49151;5;10
r;391054430;12976639;49151;5;25
r;12169897;195814;49151;5;29
r;88329031;296951;49151;5;35
r;403910456;14953193;49151;5;35
r;403910721;13471949;49151;5;35
r;54807106;44769;49151;5;55
r;12187417;125612;49151;5;77
r;648368;5955;49151;5;81
r;580481;130361;49151;5;84
