
e;27672;'pas';1;346
e;162614;'au pas';1;50
e;55432;'pas de tir';1;66
e;171386;'de ce pas';1;50
e;24243;'pas-de-porte';1;50
e;126300;'sauter le pas';1;50
e;186236;'faire les cent pas';1;70
e;107560;'pas à pas';1;70
e;210990;'il n'y a que le premier pas qui coûte';1;50
e;177072;'pas japonais';1;50
e;232661;'pas géométrique';1;50
e;163117;'pas de vis';1;60
r;310759746;27672;452711;11;15
r;310759747;27672;586154;11;15
r;310759748;27672;452712;11;15
r;310759749;27672;459151;11;15
r;310759750;27672;586155;11;15
r;310759751;27672;3348354;11;15
r;1834472;27672;162614;11;28
r;1834474;27672;55432;11;30
r;1834478;27672;171386;11;31
r;1834473;27672;24243;11;32
r;1834482;27672;126300;11;32
r;1834479;27672;186236;11;34
r;1834480;27672;107560;11;35
r;1834481;27672;210990;11;35
r;1834477;27672;177072;11;36
r;1834476;27672;232661;11;38
r;1834475;27672;163117;11;43
