
e;267425;'pension complète';1;54
e;43922;'buffet';1;404
e;74978;'étoiles';1;586
e;98300;'famille';1;4180
e;9575;'tourisme';1;1208
e;140378;'formule';1;286
e;125901;'réception';1;520
e;209229;'tout compris';1;54
e;12080;'internat';1;134
e;32718;'nuitée';1;124
e;74736;'repas';1;3608
e;14269;'boissons';1;114
e;29140;'pension de famille';1;56
e;80735;'hébergement';1;130
e;102000;'hôtel';1;1498
e;165539;'complète';1;78
e;136513;'pension';1;226
e;157590;'partir en vacances';1;290
r;415646076;267425;15370147;0;25
r;415705066;267425;15337996;0;25
r;12374571;267425;43922;0;51
r;107576994;267425;74978;0;52
r;107576995;267425;321951;0;52
r;107576997;267425;98300;0;52
r;3168508;267425;9575;0;55
r;107577000;267425;140378;0;56
r;107577002;267425;125901;0;56
r;107577003;267425;209229;0;56
r;3171155;267425;12080;0;58
r;107576999;267425;32718;0;58
r;107576998;267425;74736;0;59
r;107576996;267425;252177;0;60
r;107577001;267425;14269;0;60
r;107576986;267425;29140;0;61
r;107576987;267425;80735;0;61
r;107576988;267425;102000;0;61
r;9547957;267425;165539;0;147
r;3168509;267425;136513;0;167
r;24193663;267425;239128;0;1000000
r;31758012;136513;267425;0;9
r;430968241;15419665;267425;0;20
r;430968282;15419664;267425;0;20
r;415646075;15370147;267425;0;25
r;415705065;15337996;267425;0;25
r;364504496;157590;267425;0;61
