
e;47907;'petit déjeuner';1;568
e;161675;'déjeunant';1;56
e;15420351;'p'tit déj'';1;0
e;15420350;'petit dej'';1;0
e;2363823;'petit déj'';1;0
e;214976;'p'tit dej';1;50
e;102069;'breakfast';1;54
e;119691;'petit déj';1;52
e;183644;'petit-déj'';1;50
e;74736;'repas';1;3608
e;78845;'déjeuner';1;1334
r;85781511;47907;161675;5;-1
r;416494606;47907;15420351;5;20
r;416494609;47907;15420350;5;20
r;416494615;47907;2363823;5;20
r;416494620;47907;15420348;5;20
r;416494624;47907;15420349;5;20
r;310161272;47907;459824;5;25
r;407980729;47907;15710190;5;25
r;213812384;47907;7413996;5;29
r;12187099;47907;214976;5;50
r;54931379;47907;102069;5;62
r;13623323;47907;119691;5;67
r;12186147;47907;183644;5;72
r;23545918;47907;74736;5;82
r;1723205;47907;78845;5;83
r;85775472;161675;47907;5;-27
r;416359507;15710190;47907;5;20
r;309257327;459824;47907;5;33
r;1839689;214976;47907;5;37
r;1897978;183644;47907;5;37
r;10672334;119691;47907;5;37
r;212603560;7413996;47907;5;60
r;400345720;2363823;47907;5;60
r;400345750;15420350;47907;5;60
r;400345780;15420351;47907;5;60
r;406690009;15420348;47907;5;60
r;406690038;15420349;47907;5;60
r;54945809;102069;47907;5;64
r;12199657;78845;47907;5;97
r;23543480;74736;47907;5;105
