
e;134474;'piscine';1;1626
e;62958;'pédiluve';1;76
e;91548;'bains';1;88
e;2077;'réservoir';1;366
e;60152;'bassin';1;614
e;132716;'baignoire';1;1004
e;113013;'thermes';1;116
e;143608;'pièce d'eau';1;76
e;59618;'bain';1;936
r;2033772;134474;238300;5;32
r;218059008;134474;62958;5;33
r;53863530;134474;91548;5;34
r;53721963;134474;2077;5;81
r;54719177;134474;60152;5;89
r;53764737;134474;132716;5;90
r;54719178;134474;113013;5;90
r;12203922;134474;143608;5;108
r;572910;134474;59618;5;111
r;2127745;238300;134474;5;31
r;53848315;91548;134474;5;58
r;218051808;62958;134474;5;61
r;53587391;132716;134474;5;68
r;54877859;113013;134474;5;69
r;1639991;143608;134474;5;84
r;53628693;2077;134474;5;97
r;555490;59618;134474;5;146
r;54757025;60152;134474;5;164
