
e;143076;'placé';1;120
e;14778950;'malade placé sous respirateur';1;0
e;15252157;'vous avez placé des militaires inexpérimentés et incapables';777;0
e;6345777;'adolescent placé en institution';1;0
e;14225320;'être haut placé';1;0
e;14529697;'département placé en vigilance orange';1;10
e;14723086;'placé sous surveillance';1;0
e;14726448;'être bien placé';1;0
e;14733551;'orgueil mal placé';1;6
e;6087324;'vice-président placé auprès du premier président de la cour d'appel';777;0
e;6087322;'juge placé';777;0
e;6087321;'juge placé auprès du premier président d'une cour d'appel';777;0
e;12903555;'placé à l'isolement';1;0
e;6426102;'enfant placé en institution';1;0
e;11822135;'placé en garde à vue';1;0
e;15300682;'coup de pied placé';1;0
e;15312736;'bureaucrate haut placé';1;0
e;15777213;'Vous serez placé sous la direction de M. Hartland.';1;0
e;12079537;'jumelé placé';1;0
e;12081329;'simple placé';1;0
e;6451077;'conflit concernant un enfant adopté ou placé en famille d'accueil';1;0
e;3191008;'auto-placé';1;0
e;4272436;'dîner placé';1;0
e;459417;'placé en isolement';1;50
e;1792723;'bien placé';1;16
e;362877;'mal placé pour en parler';1;50
e;370746;'placé pour en parler';1;50
e;344696;'couplé placé';1;50
e;339102;'bien placé pour en parler';1;50
e;392088;'être placé en garde à vue';1;50
e;392166;'placé sur son séant';1;50
e;369829;'personnes haut placé';1;50
e;228650;'mal placé';1;16
e;238137;'avoir l'esprit mal placé';1;6
e;161836;'placé dans une châsse';1;52
e;201722;'haut placé';1;50
e;191821;'placé entre les yeux';1;52
e;199882;'être bien placé pour';1;50
e;199883;'être bien placé pour le savoir';1;50
r;310673193;143076;9049125;11;15
r;310759568;143076;586415;11;15
r;310759569;143076;593786;11;15
r;375571101;143076;14778950;11;25
r;394507149;143076;15252157;11;25
r;301557217;143076;6345777;11;26
r;361093230;143076;14225320;11;26
r;368583681;143076;14529697;11;26
r;374322130;143076;14723086;11;26
r;374398805;143076;14726448;11;26
r;374576373;143076;14733551;11;26
r;119669625;143076;6087324;11;28
r;119669644;143076;6087322;11;28
r;119669649;143076;6087321;11;28
r;331155673;143076;12903555;11;29
r;310673190;143076;9049126;11;30
r;310673191;143076;593787;11;30
r;310673192;143076;586416;11;30
r;122725959;143076;6426102;11;31
r;305634794;143076;11822135;11;31
r;419744031;143076;15300682;11;31
r;419667785;143076;15312736;11;32
r;419562214;143076;15777213;11;34
r;315117515;143076;12079537;11;35
r;315108147;143076;12081329;11;36
r;121037676;143076;6451077;11;42
r;77365987;143076;3191008;11;52
r;95151444;143076;4272436;11;52
r;16123908;143076;459417;11;55
r;29401158;143076;1792723;11;59
r;12650975;143076;362877;11;101
r;12619421;143076;370746;11;102
r;12725697;143076;344696;11;102
r;12749175;143076;339102;11;102
r;13096980;143076;392088;11;103
r;13158845;143076;392166;11;106
r;12623213;143076;369829;11;109
r;8697621;143076;228650;11;161
r;8705242;143076;238137;11;161
r;8627646;143076;161836;11;162
r;8670841;143076;201722;11;163
r;8654336;143076;191821;11;164
r;8667418;143076;199882;11;164
r;8667420;143076;199883;11;164
