
e;118146;'plafond';1;188
e;6297624;'plafond de la cavité buccale';1;0
e;13867210;'plafond légal de densité';777;0
e;14083946;'plafond de la Sécurité sociale';777;0
e;6415894;'plafond du rhinopharynx';1;0
e;16040430;'avoir araignée au plafond';1;0
e;15527617;'baie vitrée du sol au plafond';1;0
e;15308487;'dose plafond';1;0
e;15430694;'du sol au plafond';1;0
e;16308274;'plafond d'admission';777;0
e;16326429;'plafond 4/8 à 1000 pieds';777;0
e;11013918;'ballon-plafond';777;0
e;6381889;'diurétiques à plafond élevé';1;0
e;14602667;'sauter au plafond';1;0
e;14731041;'se cogner au plafond';1;0
e;2396230;'bas-de-plafond';1;0
e;5574074;'plafond tendu';777;0
e;10963561;'Comme une mouche au plafond';777;0
e;10941516;'plafond salarial';777;0
e;10941932;'cours plafond';777;0
e;11013920;'projecteur de plafond';777;0
e;12080666;'plafond des gains';1;0
e;11834562;'marche au plafond';1;0
e;14972147;'La Musique fait partie d'un ensemble de 21 médaillons réalisés pour le plafond de la Bibliothèque6';1;0
e;2479345;'crever le plafond';1;0
e;11955987;'plafond de la sécurité sociale';777;0
e;11383997;'plafond de la chapelle Sixtine';777;0
e;12053107;'installer un plafond suspendu';1;0
e;12053121;'installer un plafond tendu';1;0
e;12053122;'installer un plafond à caissons';1;0
e;12053104;'fixer des dalles de plafond';1;0
e;12053244;'poseur de plafond';1;0
e;2454793;'coup de plafond';1;0
e;9019781;'fixer le plafond';1;0
e;11135266;'température plafond';777;0
e;2503515;'plafond de verre';1;18
e;1780907;'avoir une araignée au plafond';1;0
e;2793685;'Le plafond de Terre ou mur visible';777;0
e;340876;'cadre de plafond';1;50
e;370758;'plafond de caverne';1;50
e;370756;'plafond d'escalier';1;50
e;370748;'plafond de bassin';1;50
e;357570;'haut de plafond';1;50
e;370752;'plafond de toile';1;50
e;370751;'plafond de larmier';1;50
e;370750;'plafond de crédit';1;50
e;338695;'basse de plafond';1;50
e;370754;'plafond à caissons';1;50
e;370747;'plafond d'amortissement';1;50
e;388962;'à un certain plafond';1;50
e;349289;'dépassement de plafond';1;50
e;370757;'plafond de bois';1;50
e;370755;'plafond à rosace';1;50
e;370749;'plafond de carrière';1;50
e;357597;'hauteur de plafond';1;50
e;338238;'balai de plafond';1;50
e;370753;'plafond rayonnant';1;50
e;254353;'être bas de plafond';1;50
e;254354;'bas de plafond';1;60
e;211529;'plafond d'émission';1;50
e;306555;'Le plafond « à la française »';777;50
e;177397;'taux plafond';1;50
e;205601;'plafond à solives apparentes';1;50
e;205602;'plafond bas';1;50
e;206404;'prix plafond';1;50
e;279250;'plafond suspendu';777;50
e;185715;'avoir une araignée dans le plafond';1;50
e;186344;'grimper au plafond';1;56
e;190713;'hauteur sous plafond';1;50
e;190840;'plafond à la française';1;50
e;10074;'faux plafond';1;50
r;299027630;118146;6297624;11;25
r;350564707;118146;13867210;11;25
r;356455915;118146;14083946;11;25
r;401734823;118146;6415894;11;25
r;419628232;118146;16040430;11;25
r;419643593;118146;15527617;11;25
r;419797285;118146;15308487;11;25
r;419801581;118146;15430694;11;25
r;427942994;118146;16308274;11;25
r;431144124;118146;16326429;11;25
r;279003759;118146;11013918;11;26
r;303932423;118146;6381889;11;26
r;371077489;118146;14602667;11;26
r;374542013;118146;14731041;11;26
r;53215606;118146;2396230;11;30
r;110605813;118146;5574074;11;30
r;276739267;118146;10963561;11;31
r;275687256;118146;10941516;11;33
r;275685178;118146;10941932;11;33
r;279003810;118146;11013920;11;36
r;315111606;118146;12080666;11;36
r;306355801;118146;11834562;11;37
r;391285523;118146;14972147;11;37
r;59801115;118146;2479345;11;39
r;308515661;118146;11955987;11;39
r;292321305;118146;11383997;11;40
r;313742115;118146;12053107;11;40
r;313742363;118146;12053121;11;40
r;313742618;118146;12053122;11;40
r;313743465;118146;12053104;11;40
r;313743874;118146;12053244;11;41
r;55566723;118146;2454793;11;45
r;195396838;118146;9019781;11;50
r;283053126;118146;11135266;11;50
r;53783353;118146;2584307;11;54
r;52474810;118146;2503515;11;55
r;29205779;118146;1780907;11;56
r;53783350;118146;2584308;11;57
r;68371398;118146;2793685;11;60
r;12741671;118146;340876;11;102
r;12619375;118146;370758;11;103
r;12619383;118146;370756;11;103
r;12619413;118146;370748;11;103
r;12672617;118146;357570;11;103
r;12619397;118146;370752;11;104
r;12619401;118146;370751;11;105
r;12619405;118146;370750;11;106
r;12750863;118146;338695;11;106
r;12619391;118146;370754;11;107
r;12619417;118146;370747;11;107
r;12546077;118146;388962;11;108
r;12706061;118146;349289;11;108
r;12619379;118146;370757;11;109
r;12619387;118146;370755;11;109
r;12619409;118146;370749;11;109
r;12672507;118146;357597;11;109
r;12752701;118146;338238;11;109
r;12619393;118146;370753;11;110
r;8718337;118146;254353;11;160
r;8718339;118146;254354;11;161
r;8686783;118146;211529;11;162
r;8772471;118146;306555;11;162
r;8635839;118146;177397;11;163
r;8677166;118146;205601;11;163
r;8677167;118146;205602;11;163
r;8678409;118146;206404;11;163
r;8746781;118146;279250;11;163
r;8645263;118146;185715;11;164
r;8646585;118146;186344;11;164
r;8653138;118146;190713;11;164
r;8653362;118146;190840;11;164
r;8573299;118146;10074;11;168
