
e;122393;'plage';1;3260
e;15270695;'en bord de mer';1;0
e;4494;'lido';1;62
e;134670;'fourchette';1;1498
e;63985;'bord';1;362
e;137381;'Lido';1;60
e;91329;'bord de mer';1;204
e;22243;'pays';1;4934
e;111663;'littoral';1;140
e;143712;'marine';1;1284
e;113576;'bain de mer';1;62
e;141949;'côte';1;424
e;131344;'rivage';1;142
e;42160;'baignade';1;274
e;112327;'grève';1;980
r;418687268;122393;15270695;5;-5
r;418697291;122393;15088053;5;5
r;416241737;122393;14930489;5;15
r;416452409;122393;15198861;5;15
r;309979966;122393;674854;5;25
r;309993064;122393;611404;5;25
r;12321491;122393;4494;5;26
r;76543411;122393;134670;5;26
r;568944;122393;63985;5;30
r;13622954;122393;137381;5;30
r;53617783;122393;91329;5;51
r;53617785;122393;22243;5;53
r;53617781;122393;111663;5;55
r;53617784;122393;143712;5;58
r;53617782;122393;113576;5;59
r;568942;122393;141949;5;75
r;568943;122393;131344;5;80
r;568941;122393;42160;5;82
r;568945;122393;112327;5;85
r;402545680;15270695;122393;5;-20
r;402987589;15104447;122393;5;10
r;402987688;15413735;122393;5;10
r;402987806;15270696;122393;5;10
r;402335170;15088053;122393;5;30
r;309390774;611404;122393;5;33
r;309398988;674854;122393;5;33
r;602680;112327;122393;5;34
r;53733247;143712;122393;5;34
r;571706;63985;122393;5;35
r;76539472;134670;122393;5;35
r;406439182;15198861;122393;5;40
r;188917;4494;122393;5;51
r;10717274;137381;122393;5;51
r;53733243;111663;122393;5;67
r;53733245;113576;122393;5;67
r;53733248;22243;122393;5;67
r;602672;131344;122393;5;75
r;569423;141949;122393;5;76
r;688774;42160;122393;5;78
r;395372281;14930489;122393;5;130
r;53733246;91329;122393;5;133
