
e;109702;'plaire';1;466
e;25625;'plaisant';1;334
e;2246072;'plairiez';2;0
e;2246073;'plairions';2;0
e;2246075;'plairont';2;0
e;2247182;'plue';2;0
e;427717;'plaira';1;50
e;2246074;'plairons';2;0
e;136056;'plaise';1;50
e;2246066;'plairai';2;0
e;2246069;'plairait';2;0
e;2246119;'plaises';2;0
e;420300;'plaît';1;50
e;2246120;'plaisez';2;0
e;2247313;'plusse';2;0
e;2247315;'plusses';2;0
e;2247183;'plues';2;0
e;2246121;'plaisiez';2;0
e;2246123;'plaisons';2;0
e;2246068;'plairais';2;0
e;2246070;'plairas';2;0
e;2247277;'plurent';2;0
e;2247314;'plussent';2;0
e;2247317;'plussions';2;0
e;2247516;'plûtes';2;0
e;2247515;'plût';2;0
e;214882;'plu';1;58
e;2247316;'plussiez';2;0
e;2246122;'plaisions';2;0
e;2246071;'plairez';2;0
e;2246067;'plairaient';2;0
e;2246078;'plaisait';2;0
e;2246118;'plaisent';2;0
e;2247357;'plut';2;0
e;2246076;'plaisaient';2;0
e;2246077;'plaisais';2;0
e;2247514;'plûmes';2;0
e;1759;'plus';1;374
e;425293;'plais';1;50
r;324105;109702;109702;19;59
r;364032458;14290765;109702;19;25
r;324114;25625;109702;19;51
r;32742104;2246072;109702;19;51
r;32742107;2246073;109702;19;51
r;32742117;2246075;109702;19;51
r;32927389;2247182;109702;19;51
r;14359626;427717;109702;19;52
r;32742111;2246074;109702;19;52
r;324116;136056;109702;19;53
r;32742079;2246066;109702;19;53
r;32742086;2246069;109702;19;53
r;32742315;2246119;109702;19;53
r;14359636;420300;109702;19;54
r;32618501;2246120;109702;19;54
r;32745231;2247313;109702;19;54
r;32745234;2247315;109702;19;54
r;32927391;2247183;109702;19;54
r;32618503;2246121;109702;19;55
r;32618507;2246123;109702;19;55
r;32742083;2246068;109702;19;55
r;32742094;2246070;109702;19;55
r;32745219;2247277;109702;19;55
r;32745228;2247314;109702;19;55
r;32745239;2247317;109702;19;55
r;32745248;2247516;109702;19;55
r;32745258;2247515;109702;19;55
r;12104968;214882;109702;19;56
r;32745237;2247316;109702;19;56
r;32618505;2246122;109702;19;57
r;32742100;2246071;109702;19;57
r;32742076;2246067;109702;19;58
r;32742130;2246078;109702;19;58
r;32742307;2246118;109702;19;58
r;32745256;2247357;109702;19;58
r;324105;109702;109702;19;59
r;32742120;2246076;109702;19;59
r;32742126;2246077;109702;19;59
r;32745188;2247514;109702;19;59
r;324478;1759;109702;19;60
r;14359633;425293;109702;19;60
