
e;43404;'porter';1;754
e;143613;'porte';1;4210
e;153429;'portes';1;82
e;2249577;'portaient';2;0
e;2249603;'porterait';2;0
e;2249721;'portèrent';2;0
e;2249607;'porteriez';2;0
e;2249579;'portais';2;0
e;2249718;'portâmes';2;0
e;2249600;'porterai';2;0
e;2249602;'porterais';2;0
e;2249599;'portera';2;0
e;1976270;'portions';1;0
e;2249584;'portasse';2;0
e;2249610;'porteront';2;0
e;426397;'portées';1;50
e;2249588;'portassions';2;0
e;2249720;'portâtes';2;0
e;2249608;'porterions';2;0
e;2249574;'porta';2;0
e;2249601;'porteraient';2;0
e;2249605;'porterez';2;0
e;2249604;'porteras';2;0
e;139572;'porté';1;56
e;2249625;'portons';2;0
e;2249598;'portent';2;0
e;2249609;'porterons';2;0
e;427331;'portez';1;50
e;2249722;'portés';2;0
e;2249576;'portai';2;0
e;2249580;'portait';2;0
e;2249587;'portassiez';2;0
e;23540;'portant';1;68
e;4865;'portée';1;252
e;421846;'portas';1;50
e;2249615;'portiez';2;0
e;2249585;'portassent';2;0
e;2249586;'portasses';2;0
e;2249719;'portât';2;0
r;325133;43404;43404;19;59
r;364032953;14290818;43404;19;25
r;364032964;14290820;43404;19;25
r;364053711;14293607;43404;19;25
r;364086519;14298794;43404;19;25
r;325130;143613;43404;19;51
r;325135;153429;43404;19;51
r;32747967;2249577;43404;19;51
r;32748027;2249603;43404;19;51
r;32748036;2249721;43404;19;51
r;32748040;2249607;43404;19;51
r;32747976;2249579;43404;19;52
r;32747982;2249718;43404;19;52
r;32748021;2249600;43404;19;52
r;32748024;2249602;43404;19;52
r;32748030;2249599;43404;19;52
r;32046795;1976270;43404;19;53
r;32747994;2249584;43404;19;53
r;32748047;2249610;43404;19;53
r;14359900;426397;43404;19;54
r;32748002;2249588;43404;19;54
r;32748005;2249720;43404;19;54
r;32748042;2249608;43404;19;54
r;32747989;2249574;43404;19;55
r;32748019;2249601;43404;19;55
r;32748038;2249605;43404;19;55
r;32748033;2249604;43404;19;56
r;325131;139572;43404;19;57
r;32619873;2249625;43404;19;57
r;32748016;2249598;43404;19;57
r;32748044;2249609;43404;19;57
r;14359911;427331;43404;19;58
r;32619919;2249722;43404;19;58
r;32747973;2249576;43404;19;58
r;325133;43404;43404;19;59
r;32747979;2249580;43404;19;59
r;32748000;2249587;43404;19;59
r;325118;23540;43404;19;60
r;325122;4865;43404;19;60
r;14359885;421846;43404;19;60
r;32619859;2249615;43404;19;60
r;32747992;2249585;43404;19;60
r;32747997;2249586;43404;19;60
r;32748010;2249719;43404;19;60
