
e;8066;'proposer';1;150
e;2253407;'proposons';2;0
e;2253414;'proposés';2;0
e;2253381;'proposais';2;0
e;2253399;'proposerions';2;0
e;2253405;'proposions';2;0
e;2253377;'proposa';2;0
e;2253388;'proposassiez';2;0
e;2253393;'proposeraient';2;0
e;2253397;'proposerez';2;0
e;2253404;'proposiez';2;0
e;2253385;'proposasse';2;0
e;2253410;'proposâtes';2;0
e;2253402;'proposes';2;0
e;2253409;'proposât';2;0
e;2253390;'proposent';2;0
e;2253396;'proposeras';2;0
e;2253401;'proposeront';2;0
e;2253380;'proposaient';2;0
e;2253382;'proposait';2;0
e;2253394;'proposerais';2;0
e;2253413;'proposées';2;0
e;2253389;'proposassions';2;0
e;2253391;'proposera';2;0
e;2253403;'proposez';2;0
e;2253387;'proposasses';2;0
e;2253411;'proposèrent';2;0
e;2253398;'proposeriez';2;0
e;149887;'proposant';1;52
e;435827;'propose';1;50
e;2253408;'proposâmes';2;0
e;2253386;'proposassent';2;0
e;2253395;'proposerait';2;0
e;2253384;'proposas';2;0
e;2253412;'proposée';2;0
e;2253379;'proposai';2;0
e;2253392;'proposerai';2;0
e;2253400;'proposerons';2;0
e;252927;'proposé';1;50
r;326550;8066;8066;19;58
r;32621402;2253407;8066;19;51
r;32621408;2253414;8066;19;51
r;32757273;2253381;8066;19;51
r;32757333;2253399;8066;19;51
r;32621400;2253405;8066;19;52
r;32757281;2253377;8066;19;52
r;32757295;2253388;8066;19;52
r;32757310;2253393;8066;19;52
r;32757329;2253397;8066;19;52
r;32621398;2253404;8066;19;53
r;32757289;2253385;8066;19;53
r;32757300;2253410;8066;19;53
r;32757340;2253402;8066;19;53
r;32757302;2253409;8066;19;54
r;32757307;2253390;8066;19;54
r;32757324;2253396;8066;19;54
r;32757338;2253401;8066;19;54
r;32757267;2253380;8066;19;55
r;32757276;2253382;8066;19;55
r;32757315;2253394;8066;19;55
r;32621406;2253413;8066;19;56
r;32757297;2253389;8066;19;56
r;32757321;2253391;8066;19;56
r;32621396;2253403;8066;19;57
r;32757292;2253387;8066;19;57
r;32757327;2253411;8066;19;57
r;32757331;2253398;8066;19;57
r;326549;149887;8066;19;58
r;326550;8066;8066;19;58
r;14368859;435827;8066;19;58
r;32757279;2253408;8066;19;58
r;32757287;2253386;8066;19;58
r;32757318;2253395;8066;19;58
r;32757284;2253384;8066;19;59
r;32621404;2253412;8066;19;60
r;32757270;2253379;8066;19;60
r;32757312;2253392;8066;19;60
r;32757335;2253400;8066;19;60
r;12105923;252927;8066;19;62
