
e;109733;'propreté';1;482
e;135956;'lieux';1;70
e;92836;'toilettes';1;888
e;50193;'décence';1;106
e;143061;'clarté';1;220
e;95364;'nettoyage';1;556
e;102778;'élégance';1;364
e;78029;'récurage';1;54
e;143987;'ménage';1;796
e;115805;'soin';1;1284
e;25132;'tenue';1;492
e;132080;'fraîcheur';1;164
e;12605;'hygiène';1;894
e;7216;'netteté';1;148
e;139194;'toilette';1;438
e;67447;'blancheur';1;216
e;88310;'pureté';1;212
e;15216216;'cabinet d'aisances';1;0
r;416239741;109733;15428577;5;20
r;416239805;109733;135956;5;20
r;416239903;109733;14960513;5;20
r;416239989;109733;15282071;5;20
r;416250841;109733;14925532;5;20
r;416251014;109733;15048148;5;20
r;416251131;109733;14925533;5;20
r;416251211;109733;15076258;5;20
r;416251390;109733;9120871;5;20
r;309724546;109733;683643;5;28
r;85643864;109733;92836;5;35
r;54839717;109733;50193;5;66
r;54876643;109733;143061;5;71
r;54876642;109733;95364;5;75
r;54876641;109733;102778;5;78
r;54876644;109733;78029;5;89
r;53739449;109733;143987;5;90
r;720546;109733;115805;5;98
r;720542;109733;25132;5;100
r;720543;109733;132080;5;101
r;720545;109733;12605;5;105
r;720541;109733;7216;5;114
r;53715340;109733;139194;5;114
r;720540;109733;67447;5;115
r;720544;109733;88310;5;125
r;431096765;15441112;109733;5;10
r;431095823;15216216;109733;5;20
r;413495104;14960513;109733;5;25
r;413139923;15428577;109733;5;30
r;413494653;15282071;109733;5;30
r;309403391;683643;109733;5;33
r;412919201;9120871;109733;5;35
r;85607972;92836;109733;5;39
r;412919709;15076258;109733;5;40
r;412920997;14925533;109733;5;40
r;412921987;15048148;109733;5;40
r;412922637;14925532;109733;5;40
r;413139467;135956;109733;5;40
r;565354;25132;109733;5;53
r;54761590;50193;109733;5;64
r;54911394;78029;109733;5;65
r;54739296;95364;109733;5;69
r;54724084;143061;109733;5;74
r;54874146;102778;109733;5;74
r;574870;115805;109733;5;88
r;53612016;143987;109733;5;89
r;574881;12605;109733;5;95
r;700973;67447;109733;5;100
r;673186;7216;109733;5;111
r;731123;132080;109733;5;113
r;53686466;139194;109733;5;116
r;711005;88310;109733;5;119
