
e;99955;'rangement';1;588
e;95243;'tri';1;228
e;80499;'huche';1;58
e;2817;'triage';1;60
e;126762;'placard';1;982
e;63718;'huis';1;66
e;122013;'placement';1;186
e;118621;'répartition';1;118
e;34568;'rayage';1;50
e;128602;'distribution';1;232
e;65652;'alignement';1;64
e;99697;'arrangement';1;180
e;9206;'classement';1;538
e;64633;'disposition';1;198
e;42056;'ordre';1;912
r;1726901;99955;95243;5;27
r;12318017;99955;80499;5;28
r;1726902;99955;2817;5;32
r;666301;99955;126762;5;37
r;62030340;99955;63718;5;39
r;54773076;99955;122013;5;69
r;54773078;99955;118621;5;69
r;54773077;99955;34568;5;71
r;53755910;99955;128602;5;95
r;666296;99955;65652;5;100
r;666299;99955;99697;5;113
r;666297;99955;9206;5;118
r;666300;99955;64633;5;118
r;666298;99955;42056;5;122
r;577398;126762;99955;5;29
r;12196406;95243;99955;5;34
r;12196405;2817;99955;5;41
r;257241;80499;99955;5;55
r;61549820;63718;99955;5;55
r;54830460;34568;99955;5;56
r;54830458;122013;99955;5;64
r;54734045;118621;99955;5;79
r;715962;99697;99955;5;104
r;584002;42056;99955;5;113
r;699580;64633;99955;5;117
r;700121;65652;99955;5;127
r;53595988;128602;99955;5;132
r;592420;9206;99955;5;135
