
e;107744;'redire';1;106
e;2101661;'redîmes';2;0
e;329594;'redit';1;50
e;2101701;'redisant';2;0
e;2101737;'redisons';2;0
e;2101689;'redirons';2;0
e;2101879;'redîtes';2;0
e;2101678;'redirais';2;0
e;2101725;'redisiez';2;0
e;2101731;'redisions';2;0
e;2101684;'redirez';2;0
e;2265942;'redisez';2;0
e;2101710;'redisent';2;0
e;2101723;'redises';2;0
e;2101885;'redits';2;0
e;25291;'redite';1;62
e;2101693;'redisais';2;0
e;2101743;'redis';2;0
e;421803;'redites';1;50
e;2101764;'redisse';2;0
e;2101766;'redisses';2;0
e;2101721;'redise';2;0
e;2101687;'redirions';2;0
e;2101679;'redirait';2;0
e;2101690;'rediront';2;0
e;2101762;'redissent';2;0
e;2101770;'redissions';2;0
e;2101884;'redît';2;0
e;2101699;'redisait';2;0
e;2101680;'redira';2;0
e;2101768;'redissiez';2;0
e;2101675;'rediraient';2;0
e;2101677;'redirai';2;0
e;2101682;'redirent';2;0
e;2101685;'rediriez';2;0
e;2101681;'rediras';2;0
e;2101691;'redisaient';2;0
r;328641;107744;107744;19;54
r;364085167;14298550;107744;19;25
r;32456606;2101661;107744;19;51
r;12107399;329594;107744;19;52
r;32179016;2101701;107744;19;53
r;32179033;2101737;107744;19;53
r;32456726;2101689;107744;19;53
r;32457155;2101879;107744;19;53
r;328641;107744;107744;19;54
r;32179004;2101678;107744;19;54
r;32179029;2101725;107744;19;54
r;32179031;2101731;107744;19;54
r;32456710;2101684;107744;19;54
r;32996560;2265942;107744;19;54
r;32179020;2101710;107744;19;55
r;32456800;2101723;107744;19;55
r;32457183;2101885;107744;19;55
r;328645;25291;107744;19;56
r;32179012;2101693;107744;19;57
r;32179036;2101743;107744;19;57
r;14361026;421803;107744;19;58
r;32456848;2101764;107744;19;58
r;32456855;2101766;107744;19;58
r;32179026;2101721;107744;19;59
r;32456720;2101687;107744;19;59
r;32456677;2101679;107744;19;61
r;32456735;2101690;107744;19;62
r;32456843;2101762;107744;19;62
r;32456876;2101770;107744;19;62
r;32457175;2101884;107744;19;62
r;32456757;2101699;107744;19;64
r;32456686;2101680;107744;19;65
r;32456867;2101768;107744;19;65
r;32456653;2101675;107744;19;66
r;32456661;2101677;107744;19;66
r;32456701;2101682;107744;19;66
r;32456717;2101685;107744;19;66
r;32456695;2101681;107744;19;67
r;32456742;2101691;107744;19;67
