
e;62982;'remettre';1;300
e;2110669;'remettions';2;0
e;2110820;'remissiez';2;0
e;2110832;'remîtes';2;0
e;59314;'remisse';1;50
e;2110634;'remettais';2;0
e;1972588;'remettez';1;0
e;2110662;'remettiez';2;0
e;2110733;'remîmes';2;0
e;2110674;'remettons';2;0
e;47208;'remises';1;50
e;6971;'remis';1;64
e;2110683;'remettrait';2;0
e;2110690;'remettrions';2;0
e;417602;'remets';1;50
e;2110633;'remettaient';2;0
e;2110678;'remettraient';2;0
e;2110827;'remissions';2;0
e;39502;'remettant';1;50
e;117420;'remise';1;172
e;2110649;'remette';2;0
e;2110682;'remettrais';2;0
e;2110632;'remet';2;0
e;2110656;'remettes';2;0
e;2110813;'remisses';2;0
e;2110639;'remettent';2;0
e;2110691;'remettrons';2;0
e;2110692;'remettront';2;0
e;2110680;'remettrai';2;0
e;2110687;'remettrez';2;0
e;2110689;'remettriez';2;0
e;2110636;'remettait';2;0
e;2110685;'remettras';2;0
e;2110736;'remirent';2;0
e;2110811;'remissent';2;0
e;2110836;'remît';2;0
e;2110684;'remettra';2;0
e;2110834;'remit';2;0
r;329211;62982;62982;19;58
r;364035762;14291138;62982;19;25
r;364035777;14291139;62982;19;25
r;364084672;14298442;62982;19;25
r;32182732;2110669;62982;19;51
r;32485260;2110820;62982;19;51
r;32485287;2110832;62982;19;51
r;329227;59314;62982;19;52
r;32182722;2110634;62982;19;52
r;31805696;1972588;62982;19;53
r;32182730;2110662;62982;19;54
r;32485005;2110733;62982;19;54
r;32182734;2110674;62982;19;55
r;329222;47208;62982;19;56
r;329226;6971;62982;19;56
r;32484930;2110683;62982;19;56
r;32484957;2110690;62982;19;56
r;14361248;417602;62982;19;57
r;32484840;2110633;62982;19;57
r;329211;62982;62982;19;58
r;32484910;2110678;62982;19;58
r;32485270;2110827;62982;19;58
r;329210;39502;62982;19;59
r;329218;117420;62982;19;59
r;32182727;2110649;62982;19;59
r;32182737;2110682;62982;19;59
r;32484829;2110632;62982;19;59
r;32484879;2110656;62982;19;59
r;32485248;2110813;62982;19;59
r;32182724;2110639;62982;19;60
r;32484960;2110691;62982;19;60
r;32484965;2110692;62982;19;60
r;32484916;2110680;62982;19;61
r;32484951;2110687;62982;19;61
r;32484954;2110689;62982;19;61
r;32484849;2110636;62982;19;63
r;32484945;2110685;62982;19;63
r;32485017;2110736;62982;19;64
r;32485240;2110811;62982;19;64
r;32485303;2110836;62982;19;65
r;32484937;2110684;62982;19;66
r;32485294;2110834;62982;19;66
