
e;74736;'repas';1;3604
e;161675;'déjeunant';1;56
e;4129730;'popotte';1;0
e;284169;'piquenique';777;50
e;125756;'réjouissances';1;90
e;92812;'fourchetée';1;50
e;2463683;'dinée';1;0
e;55222;'petit';1;3512
e;151446;'diner';1;224
e;80855;'cène';1;56
e;373007;'prise alimentaire';1;66
e;38100;'gaudeamus';1;50
e;41851;'croûte';1;230
e;113902;'alimentation';1;1782
e;1447;'sandwich';1;1018
e;114839;'mets';1;244
e;55047;'réfection';1;74
e;117152;'soupe';1;1526
e;82930;'ordinaire';1;224
e;124667;'réjouissance';1;98
e;19715;'gala';1;138
e;30982;'gogaille';1;58
e;107608;'dînée';1;58
e;12703;'bombance';1;96
e;131617;'en-cas';1;88
e;130164;'manger';1;10180
e;20965;'nourriture';1;3506
e;64847;'dînette';1;66
e;60939;'médianoche';1;66
e;114649;'mangerie';1;60
e;130833;'fricot';1;62
e;123287;'repue';1;68
e;38188;'menu';1;736
e;60412;'casse-croûte';1;92
e;26543;'popote';1;96
e;26201;'goûter';1;908
e;36327;'plat';1;3474
e;47907;'petit déjeuner';1;568
e;56139;'agapes';1;76
e;71549;'gueuleton';1;68
e;142266;'Cène';1;80
e;31546;'lippée';1;62
e;99693;'pitance';1;72
e;90021;'réveillon';1;252
e;76793;'bonne chère';1;78
e;25575;'régal';1;80
e;13925;'dîner';1;1090
e;42106;'collation';1;152
e;51158;'frichti';1;66
e;35880;'ripaille';1;72
e;57314;'pique-nique';1;268
e;25426;'mangeaille';1;64
e;122131;'chère';1;214
e;27603;'croustille';1;66
e;123288;'festin';1;220
e;80478;'souper';1;660
e;55239;'lunch';1;96
e;9340;'bâfrée';1;66
e;14440;'graille';1;66
e;16033;'cuisine';1;11408
e;64239;'panier';1;526
e;98019;'banquet';1;196
e;78845;'déjeuner';1;1334
e;23241;'bouffe';1;420
e;74491;'graillon';1;150
e;2363823;'petit déj'';1;0
e;15420350;'petit dej'';1;0
e;15420351;'p'tit déj'';1;0
r;85781501;74736;161675;5;-1
r;331766088;74736;438986;5;10
r;391278446;74736;14925082;5;15
r;416243199;74736;7413996;5;15
r;416245398;74736;15194167;5;15
r;416370416;74736;15266830;5;15
r;309604195;74736;3353133;5;22
r;310120937;74736;589286;5;24
r;309611681;74736;3317995;5;25
r;309744288;74736;583361;5;25
r;309744290;74736;589720;5;25
r;309962672;74736;1162809;5;25
r;309966245;74736;1001311;5;25
r;309977890;74736;676450;5;25
r;310012010;74736;600070;5;25
r;310090362;74736;593889;5;25
r;310152808;74736;577813;5;25
r;310161268;74736;459824;5;25
r;310039759;74736;597900;5;26
r;96383593;74736;4129730;5;27
r;98737888;74736;284169;5;27
r;85639300;74736;125756;5;28
r;309992700;74736;611658;5;28
r;12269939;74736;92812;5;29
r;98738835;74736;2463683;5;29
r;310153240;74736;577629;5;29
r;309938812;74736;1723933;5;30
r;213816381;74736;8084958;5;33
r;584901;74736;55222;5;34
r;12205793;74736;151446;5;37
r;23816945;74736;80855;5;38
r;23567286;74736;269023;5;51
r;23567288;74736;252177;5;51
r;23567290;74736;373007;5;51
r;53626180;74736;38100;5;52
r;23688607;74736;41851;5;61
r;584896;74736;113902;5;65
r;584910;74736;1447;5;65
r;23688594;74736;114839;5;71
r;23688595;74736;55047;5;71
r;23688598;74736;117152;5;71
r;23689061;74736;82930;5;71
r;23689062;74736;124667;5;71
r;23688602;74736;19715;5;81
r;23688604;74736;30982;5;81
r;23688605;74736;107608;5;81
r;23688609;74736;12703;5;81
r;584900;74736;131617;5;85
r;23543474;74736;130164;5;91
r;23543477;74736;20965;5;91
r;23561750;74736;64847;5;91
r;23688600;74736;60939;5;91
r;23688608;74736;114649;5;91
r;23689060;74736;130833;5;91
r;23689063;74736;123287;5;91
r;584898;74736;38188;5;95
r;584902;74736;60412;5;95
r;584904;74736;26543;5;95
r;584909;74736;26201;5;95
r;23543473;74736;36327;5;101
r;23543480;74736;47907;5;101
r;23561757;74736;56139;5;101
r;23561759;74736;71549;5;101
r;23567280;74736;142266;5;101
r;23567282;74736;31546;5;101
r;23688592;74736;99693;5;101
r;23688596;74736;90021;5;101
r;23688597;74736;76793;5;101
r;23688606;74736;25575;5;101
r;584897;74736;13925;5;105
r;584905;74736;42106;5;105
r;584906;74736;51158;5;105
r;584907;74736;35880;5;105
r;23567278;74736;57314;5;111
r;23567284;74736;25426;5;111
r;23688599;74736;122131;5;111
r;23688601;74736;27603;5;111
r;584903;74736;123288;5;115
r;23543472;74736;80478;5;121
r;23543478;74736;55239;5;121
r;23561751;74736;9340;5;121
r;23561755;74736;14440;5;121
r;23561761;74736;16033;5;121
r;23688593;74736;64239;5;121
r;584899;74736;98019;5;125
r;584908;74736;78845;5;125
r;23543475;74736;23241;5;131
r;23561753;74736;74491;5;131
r;85775467;161675;74736;5;-25
r;395984834;15339527;74736;5;10
r;399654426;15486379;74736;5;10
r;409459429;2363823;74736;5;10
r;409459501;15420350;74736;5;10
r;409459573;15420351;74736;5;10
r;426302762;15493333;74736;5;10
r;426446747;15380222;74736;5;10
r;573110;55222;74736;5;27
r;23617800;269023;74736;5;28
r;23691172;123287;74736;5;29
r;85615515;125756;74736;5;29
r;23617802;252177;74736;5;32
r;309228535;438986;74736;5;33
r;309257325;459824;74736;5;33
r;309265176;577629;74736;5;33
r;309265896;577813;74736;5;33
r;309276570;583361;74736;5;33
r;309293345;589286;74736;5;33
r;309295086;589720;74736;5;33
r;309320262;593889;74736;5;33
r;309357012;597900;74736;5;33
r;309376973;600070;74736;5;33
r;309390991;611658;74736;5;33
r;309399776;676450;74736;5;33
r;309406334;1001311;74736;5;33
r;309408782;1162809;74736;5;33
r;309423262;1723933;74736;5;33
r;309529290;3317995;74736;5;33
r;309532224;3353133;74736;5;33
r;23617804;373007;74736;5;34
r;1562386;151446;74736;5;35
r;391156928;14925082;74736;5;35
r;23617797;142266;74736;5;36
r;398006976;15266830;74736;5;40
r;23691160;122131;74736;5;41
r;660817;92812;74736;5;58
r;407980711;7413996;74736;5;60
