
e;79954;'restaurant';1;5298
e;150219;'restau';1;174
e;124461;'restaurer';1;158
e;3052519;'restaurantes';1;0
e;3052518;'restaurante';1;0
e;30260;'restaurants';1;56
e;425125;'restaus';1;50
e;406340;'restos';1;50
e;166262;'resto';1;192
r;10637048;79954;150219;19;1
r;329936;79954;79954;19;51
r;329937;79954;124461;19;51
r;10636749;150219;79954;19;1
r;107313530;3052519;79954;19;26
r;107313529;3052518;79954;19;29
r;329936;79954;79954;19;51
r;329938;30260;79954;19;51
r;32630979;425125;79954;19;51
r;32630987;406340;79954;19;53
r;32630982;166262;79954;19;59
