
e;11575;'restauration';1;272
e;21490;'fast food';1;164
e;115075;'approvisionnement';1;74
e;106255;'relèvement';1;80
e;10953;'réhabilitation';1;88
e;61941;'renaissance';1;87
e;129933;'fast-food';1;476
e;79954;'restaurant';1;5296
e;132284;'reprise';1;298
e;63471;'protection';1;1722
e;34832;'embellissement';1;62
e;55319;'régénération';1;54
e;59921;'amélioration';1;314
e;144519;'reconstruction';1;184
e;67085;'guérison';1;310
e;10955;'hôtellerie';1;158
e;73891;'rétablissement';1;110
e;22436;'réparation';1;480
e;107491;'rénovation';1;72
e;55047;'réfection';1;74
e;77493;'apaisement';1;234
r;416236696;11575;14941185;5;15
r;309796485;11575;439107;5;25
r;309894259;11575;1803620;5;25
r;213810705;11575;7369980;5;28
r;98567098;11575;21490;5;30
r;213810735;11575;7605914;5;34
r;83658207;11575;115075;5;35
r;53626652;11575;106255;5;52
r;53626649;11575;10953;5;53
r;53626653;11575;61941;5;53
r;53626657;11575;129933;5;53
r;53626659;11575;79954;5;53
r;53626651;11575;132284;5;54
r;53626655;11575;63471;5;54
r;53626658;11575;34832;5;54
r;53626650;11575;55319;5;55
r;53626648;11575;59921;5;56
r;53626654;11575;144519;5;56
r;53626656;11575;67085;5;60
r;645538;11575;10955;5;75
r;645540;11575;73891;5;75
r;645542;11575;22436;5;77
r;645539;11575;107491;5;79
r;645541;11575;55047;5;79
r;397768078;15526017;11575;5;10
r;405767233;14923231;11575;5;10
r;409602602;77493;11575;5;11
r;83658206;115075;11575;5;26
r;309229277;439107;11575;5;33
r;309437446;1803620;11575;5;33
r;408164079;14941185;11575;5;60
r;3169195;10953;11575;5;68
r;53725352;59921;11575;5;68
r;53725354;55319;11575;5;68
r;53725356;132284;11575;5;68
r;53725358;106255;11575;5;68
r;53725363;63471;11575;5;68
r;53725364;67085;11575;5;68
r;53725367;129933;11575;5;68
r;53725369;34832;11575;5;68
r;53725370;79954;11575;5;68
r;82238717;21490;11575;5;68
r;211939577;7605914;11575;5;70
r;211947227;7369980;11575;5;70
r;53725359;61941;11575;5;73
r;53725361;144519;11575;5;73
r;645537;55047;11575;5;75
r;645543;10955;11575;5;78
r;645545;107491;11575;5;78
r;704117;73891;11575;5;78
r;645528;22436;11575;5;84
