
e;81165;'revoir';1;132
e;10593951;'Au revoir monsieur Grock';777;0
e;15742868;'dire au revoir à';1;0
e;15277130;'dire au revoir à qn';1;0
e;15742867;'dire au revoir à quelqu'un';1;0
e;15742869;'dire au revoir à quelque chose';1;0
e;15277138;'disant au revoir';1;0
e;15277135;'dit au revoir';1;0
e;15321442;'embrasser qn pour lui dire au revoir';1;0
e;15691190;'embrasser quelqu'un pour lui dire au revoir';1;0
e;15359407;'en espérant vous revoir prochainement';1;0
e;9968804;'Ce n'est qu'un au revoir';777;0
e;15435204;'dire au revoir à [qch]';1;0
e;15435203;'dire au revoir à [qqn]';1;0
e;15238538;'content de la revoir';1;0
e;15238542;'content de nous revoir';1;0
e;15238540;'content de vous revoir';1;0
e;15366667;'contente de la revoir';1;0
e;15366669;'contente de le revoir';1;0
e;15366671;'contente de les revoir';1;0
e;15366665;'contente de me revoir';1;0
e;15366674;'contente de nous revoir';1;0
e;15366664;'contente de te revoir';1;0
e;15366673;'contente de vous revoir';1;0
e;11077130;'revoir son cours';1;0
e;15277128;'au revoir et bonne continuation';1;0
e;15438680;'ce n'est qu'un au revoir';1;0
e;15668300;'Nous serions heureux de vous revoir, monsieur.';1;0
e;15321437;'Pourquoi tu es parti sans dire au revoir ?';1;0
e;15290862;'Sa mère lui a défendu de le revoir.';1;0
e;15277126;'allez, au revoir';1;0
e;16314491;'Louis Malle pour Au revoir les enfants';777;0
e;10068644;'Au revoir à jamais';777;0
e;10191303;'Au revoir parapluie';777;0
e;10513900;'Au revoir... et à bientôt !';777;0
e;10138075;'Au revoir Mr. Chips';777;0
e;5557488;'Au revoir là-haut';777;0
e;15495626;'Bon alors au revoir.';1;0
e;15321440;'Elle est allée lui dire au revoir à gare.';1;0
e;15373899;'J'ai très envie de revoir mon copain.';1;0
e;15398228;'J'ai hâte de le revoir.';1;0
e;15393908;'Il est en train de revoir sa géographie.';1;0
e;15456076;'Au revoir !';1;0
e;2542760;'entre-revoir';1;0
e;4406801;'se dire au revoir';1;0
e;2600398;'jusqu'au revoir';1;0
e;2555943;'France au revoir';1;0
e;3398241;'Au revoir';777;0
e;2554629;'beau-revoir';1;0
e;2494381;'en revoir';1;0
e;393271;'Au revoir Lénine !';777;50
e;240030;'revoir sa copie';1;50
e;72392;'se revoir';1;56
e;83399;'revoir à la baisse';1;58
e;195580;'à revoir';1;50
e;196310;'au plaisir de vous revoir';1;50
e;270311;'revoir à la hausse';1;50
e;312102;'Au revoir les enfants';777;50
e;198724;'dire au revoir';1;112
e;76141;'au revoir';1;192
r;310762220;81165;441106;11;15
r;264454660;81165;10593951;11;30
r;419781480;81165;15742868;11;30
r;419781489;81165;15277130;11;30
r;419781496;81165;15742867;11;30
r;419781505;81165;15742869;11;30
r;419783391;81165;15277138;11;30
r;419786836;81165;15277135;11;30
r;419834772;81165;15321442;11;30
r;419834812;81165;15691190;11;30
r;419839302;81165;15359407;11;30
r;221475304;81165;9968804;11;31
r;395424485;81165;15435204;11;31
r;395425157;81165;15435203;11;31
r;419735107;81165;15238538;11;31
r;419735139;81165;15238542;11;31
r;419735147;81165;15238540;11;31
r;419735159;81165;15366667;11;31
r;419735167;81165;15366669;11;31
r;419735175;81165;15366671;11;31
r;419735179;81165;15366665;11;31
r;419735190;81165;15366674;11;31
r;419735200;81165;15366664;11;31
r;419735210;81165;15366673;11;31
r;283112403;81165;11077130;11;32
r;419620750;81165;15277128;11;32
r;419691332;81165;15438680;11;32
r;419516027;81165;15668300;11;34
r;419527332;81165;15321437;11;34
r;419538661;81165;15290862;11;34
r;419588776;81165;15277126;11;34
r;428777107;81165;16314491;11;35
r;232089148;81165;10068644;11;40
r;242254660;81165;10191303;11;40
r;262039296;81165;10513900;11;41
r;236669271;81165;10138075;11;44
r;109878935;81165;5557488;11;50
r;397134374;81165;15495626;11;50
r;397498103;81165;15321440;11;50
r;402121676;81165;15373899;11;50
r;402120860;81165;15398228;11;50
r;402105656;81165;15393908;11;50
r;395567236;81165;15456076;11;50
r;52500685;81165;2542760;11;51
r;99495833;81165;4406801;11;53
r;55141744;81165;2600398;11;54
r;52449921;81165;2555943;11;55
r;87048236;81165;3398241;11;55
r;52494598;81165;2554629;11;58
r;52479043;81165;2494381;11;59
r;13348410;81165;393271;11;102
r;8706530;81165;240030;11;161
r;8594520;81165;72392;11;162
r;8598254;81165;83399;11;163
r;8660084;81165;195580;11;163
r;8661245;81165;196310;11;163
r;8737972;81165;270311;11;163
r;8778297;81165;312102;11;163
r;8665529;81165;198724;11;165
r;2156948;81165;76141;11;213
