
e;81165;'revoir';1;132
e;2118456;'revissiez';2;0
e;2118527;'revoient';2;0
e;2118269;'reverrais';2;0
e;2118453;'revissent';2;0
e;2118496;'revit';2;0
e;2118497;'revît';2;0
e;2118650;'revoyant';2;0
e;2118651;'revoyez';2;0
e;2118274;'reverriez';2;0
e;2118529;'revoies';2;0
e;2118649;'revoyait';2;0
e;2118528;'revoie';2;0
e;2118531;'revois';2;0
e;2118653;'revoyions';2;0
e;398492;'revues';1;50
e;2118413;'revirent';2;0
e;2118654;'revoyons';2;0
e;2118276;'reverrons';2;0
e;2118455;'revisses';2;0
e;2118270;'reverrait';2;0
e;2118532;'revoit';2;0
e;112587;'revue';1;528
e;399410;'revu';1;72
e;2118648;'revoyais';2;0
e;2118271;'reverra';2;0
e;2118457;'revissions';2;0
e;2118652;'revoyiez';2;0
e;2118530;'revoirs';2;0
e;2118647;'revoyaient';2;0
e;2118454;'revisse';2;0
e;2118267;'reverraient';2;0
e;2118277;'reverront';2;0
e;2118272;'reverras';2;0
e;2118275;'reverrions';2;0
e;2118268;'reverrai';2;0
e;2118399;'revîmes';2;0
e;2118452;'revis';2;0
e;2118495;'revîtes';2;0
e;2118273;'reverrez';2;0
e;2118660;'revus';2;0
r;330298;81165;81165;19;55
r;364064076;14295330;81165;19;25
r;364085619;14298629;81165;19;25
r;364085655;14298636;81165;19;25
r;32186550;2118456;81165;19;51
r;32186584;2118527;81165;19;51
r;32186411;2118269;81165;19;52
r;32186534;2118453;81165;19;52
r;32186555;2118496;81165;19;52
r;32506134;2118497;81165;19;52
r;32186652;2118650;81165;19;53
r;32186655;2118651;81165;19;53
r;32505623;2118274;81165;19;53
r;32506198;2118529;81165;19;53
r;32506489;2118649;81165;19;53
r;32186587;2118528;81165;19;54
r;32186590;2118531;81165;19;54
r;32186660;2118653;81165;19;54
r;330298;81165;81165;19;55
r;14361670;398492;81165;19;55
r;32186493;2118413;81165;19;55
r;32186662;2118654;81165;19;55
r;32505627;2118276;81165;19;55
r;32186546;2118455;81165;19;56
r;32505612;2118270;81165;19;56
r;32506205;2118532;81165;19;56
r;330321;112587;81165;19;57
r;14361676;399410;81165;19;57
r;32186650;2118648;81165;19;57
r;32505615;2118271;81165;19;57
r;32186553;2118457;81165;19;58
r;32186658;2118652;81165;19;59
r;32506201;2118530;81165;19;59
r;32506486;2118647;81165;19;59
r;32186541;2118454;81165;19;60
r;32505607;2118267;81165;19;60
r;32505630;2118277;81165;19;61
r;32505618;2118272;81165;19;62
r;32505625;2118275;81165;19;62
r;32505609;2118268;81165;19;63
r;32505907;2118399;81165;19;63
r;32186528;2118452;81165;19;65
r;32506130;2118495;81165;19;65
r;32505621;2118273;81165;19;67
r;32506510;2118660;81165;19;67
