
e;123550;'régler';1;254
e;13534123;'régle';1;0
e;14718768;'règlera';1;0
e;2106660;'réglerons';2;0
e;2106541;'réglaient';2;0
e;2106542;'réglai';2;0
e;2106554;'réglasses';2;0
e;2106648;'réglerait';2;0
e;150140;'réglant';1;50
e;2106647;'réglerais';2;0
e;2106649;'réglera';2;0
e;2106662;'régleront';2;0
e;98935;'réglé';1;56
e;2106642;'règlent';2;0
e;2106650;'régleras';2;0
e;2106562;'réglées';2;0
e;2106552;'réglassent';2;0
e;2106683;'réglions';2;0
e;2106553;'réglasse';2;0
e;2106655;'réglerez';2;0
e;83630;'réglée';1;56
e;2106544;'réglait';2;0
e;142936;'règle';1;648
e;95471;'règles';1;370
e;2106663;'réglés';2;0
e;2106546;'réglâmes';2;0
e;2106556;'réglassiez';2;0
e;2106550;'régla';2;0
e;2106558;'réglâtes';2;0
e;2106644;'régleraient';2;0
e;2106646;'réglerai';2;0
e;2106659;'réglerions';2;0
e;2106682;'régliez';2;0
e;2106691;'réglons';2;0
e;2106559;'réglât';2;0
e;2106653;'réglèrent';2;0
e;2106680;'réglez';2;0
e;2106543;'réglais';2;0
e;2106551;'réglas';2;0
e;2106657;'régleriez';2;0
e;2106557;'réglassions';2;0
r;328923;123550;123550;19;56
r;345582305;13534123;123550;19;25
r;364035555;14291114;123550;19;25
r;364035566;14291116;123550;19;25
r;374232209;14718768;123550;19;37
r;32471521;2106660;123550;19;51
r;32470870;2106541;123550;19;53
r;32470878;2106542;123550;19;53
r;32470958;2106554;123550;19;53
r;32471446;2106648;123550;19;54
r;328910;150140;123550;19;55
r;32471433;2106647;123550;19;55
r;32471457;2106649;123550;19;55
r;32471533;2106662;123550;19;55
r;328922;98935;123550;19;56
r;328923;123550;123550;19;56
r;32471409;2106642;123550;19;56
r;32471469;2106650;123550;19;56
r;32181097;2106562;123550;19;57
r;32470943;2106552;123550;19;57
r;32471650;2106683;123550;19;57
r;32470951;2106553;123550;19;58
r;32471499;2106655;123550;19;58
r;328912;83630;123550;19;59
r;32470900;2106544;123550;19;59
r;328921;142936;123550;19;60
r;328925;95471;123550;19;60
r;32181125;2106663;123550;19;60
r;32470910;2106546;123550;19;60
r;32470972;2106556;123550;19;60
r;32470925;2106550;123550;19;61
r;32470990;2106558;123550;19;61
r;32471420;2106644;123550;19;61
r;32471425;2106646;123550;19;61
r;32471511;2106659;123550;19;61
r;32471640;2106682;123550;19;61
r;32471681;2106691;123550;19;61
r;32471002;2106559;123550;19;62
r;32471493;2106653;123550;19;62
r;32471624;2106680;123550;19;64
r;32470889;2106543;123550;19;65
r;32470933;2106551;123550;19;65
r;32471506;2106657;123550;19;67
r;32470979;2106557;123550;19;68
