
e;156292;'salle de sport';1;222
e;7780;'sportif';1;1700
e;9575;'tourisme';1;1208
e;31970;'centre';1;758
e;46912;'association';1;440
e;57307;'club';1;376
e;73685;'sports';1;500
e;117420;'remise';1;172
e;142000;'forme';1;760
e;151526;'sportive';1;302
e;218308;'CS';1;50
e;231612;'centre de remise en forme';1;50
e;234541;'club de remise en forme';1;50
e;255901;'remise en forme';1;20
e;258425;'club sportif';1;20
e;311709;'centre de';777;50
e;336952;'association sportive';1;52
e;962040;'centre de gym';777;0
e;9743923;'centre de fitness';777;0
e;15245281;'club de fitness';1;0
e;152218;'fitness';1;98
e;10955;'hôtellerie';1;158
e;378472;'salle de gymnastique';1;50
e;27097;'gymnase';1;378
e;378487;'salle omnisports';1;50
e;56413;'gymnastique';1;342
e;149767;'pompes';1;118
e;156607;'salle de gym';1;72
e;145373;'pompe';1;430
e;148433;'gym';1;138
e;12049566;'salle de fitness';1;8
e;135190;'lieu';1;1642
e;56865;'sport';1;5088
e;139209;'salle';1;1508
e;11156268;'La salle de la Meilleraie';777;0
e;10917920;'LeSports Center';777;0
e;10917921;'Palais omnisports de Wukesong';777;0
e;10916204;'Kazakoshi Park Arena';777;0
e;10916200;'Aqua Wing Arena';777;0
e;233029;'activité physique';1;140
e;102000;'hôtel';1;1498
e;11504184;'Country hall de Liège';777;0
e;191726;'faire du sport';1;364
e;199905;'être dans';1;52
e;251229;'faire de la musculation';1;32
e;1421926;'faire des abdominaux';1;34
e;258430;'faire des abdos';1;114
e;247255;'faire de la gymnastique';1;46
e;3302961;'club de sport';1;0
e;237497;'faire de l'exercice';1;134
e;256920;'bodybuilder';1;14
e;256919;'bodybuildeur';1;2
e;4490018;'aller à la salle';1;0
e;247338;'banc de musculation';1;18
e;248332;'ceinture abdominale';1;24
e;3705479;'faire des abdo';1;0
e;4469641;'se maintenir en forme physique';1;2
e;233027;'exercice physique';1;168
e;125152;'culturisme';1;90
e;89149;'body-building';1;50
e;151540;'bodybuilding';1;90
e;11130900;'nettoyer la salle';1;0
e;251245;'course d'élan';1;50
e;250697;'faire de la gonflette';1;38
e;256911;'prendre du muscle';1;30
e;256915;'faire des pompes';1;16
e;251227;'soulever de la fonte';1;30
e;3705466;'aller faire du sport';1;0
r;304331885;156292;4328076;0;5
r;430991359;156292;7780;0;10
r;430991360;156292;9575;0;10
r;430991365;156292;31970;0;10
r;430991367;156292;46912;0;10
r;430991371;156292;57307;0;10
r;430991373;156292;73685;0;10
r;430991377;156292;117420;0;10
r;430991379;156292;142000;0;10
r;430991381;156292;151526;0;10
r;430991385;156292;218308;0;10
r;430991386;156292;231612;0;10
r;430991389;156292;234541;0;10
r;430991393;156292;255901;0;10
r;430991394;156292;258425;0;10
r;430991398;156292;311709;0;10
r;430991399;156292;336952;0;10
r;430991405;156292;962040;0;10
r;430991427;156292;9743923;0;10
r;430991497;156292;13197162;0;10
r;430991509;156292;15245281;0;10
r;430991511;156292;15428470;0;10
r;430991513;156292;15429469;0;10
r;430991515;156292;15466372;0;10
r;430991338;156292;152218;0;20
r;365432961;156292;14388776;0;25
r;368764982;156292;14536333;0;25
r;369562805;156292;14539944;0;25
r;389720428;156292;14902971;0;25
r;389720440;156292;14902974;0;25
r;415561532;156292;14941307;0;25
r;415561534;156292;15416737;0;25
r;415867658;156292;15207620;0;25
r;415867659;156292;15245282;0;25
r;427977338;156292;10955;0;25
r;429459770;156292;378472;0;25
r;430400140;156292;27097;0;25
r;430400149;156292;378487;0;25
r;432696137;156292;16381230;0;25
r;430400141;156292;56413;0;40
r;359206060;156292;149767;0;51
r;328132819;156292;156607;0;51
r;359206042;156292;145373;0;51
r;359206049;156292;216309;0;51
r;408960428;156292;148433;0;60
r;328132821;156292;12049566;0;72
r;9640193;156292;135190;0;73
r;9433450;156292;56865;0;145
r;9433449;156292;139209;0;146
r;24117154;156292;239128;0;1000000
r;283828413;11156268;156292;0;7
r;274656500;10917920;156292;0;8
r;274656502;10917921;156292;0;8
r;396898428;15250893;156292;0;10
r;274477815;10916204;156292;0;10
r;274477823;10916200;156292;0;10
r;398229573;14924352;156292;0;10
r;400298992;15466372;156292;0;10
r;404989559;15262632;156292;0;10
r;404989648;15452301;156292;0;10
r;408935702;15245285;156292;0;10
r;408959829;15416730;156292;0;10
r;408959991;15416731;156292;0;10
r;418849037;15231983;156292;0;10
r;430848684;233029;156292;0;10
r;432301931;15337578;156292;0;10
r;432302059;15294096;156292;0;10
r;432394141;15699172;156292;0;10
r;432394348;15702912;156292;0;10
r;432395106;378487;156292;0;10
r;433413622;102000;156292;0;12
r;295936669;11504184;156292;0;13
r;430719251;15446607;156292;0;20
r;430719523;15446606;156292;0;20
r;359206043;145373;156292;0;25
r;359206062;149767;156292;0;25
r;365432951;14388775;156292;0;25
r;365432958;14388776;156292;0;25
r;368764972;14536332;156292;0;25
r;368764979;14536333;156292;0;25
r;369562786;191726;156292;0;25
r;369562795;14539943;156292;0;25
r;369562802;14539944;156292;0;25
r;389720403;199905;156292;0;25
r;389720412;14902972;156292;0;25
r;389720420;14902973;156292;0;25
r;389720427;14902971;156292;0;25
r;389720437;14902974;156292;0;25
r;396554497;15199156;156292;0;25
r;396554692;15199157;156292;0;25
r;396554866;15199158;156292;0;25
r;396555039;15199159;156292;0;25
r;415561533;15416737;156292;0;25
r;432696134;16381230;156292;0;25
r;434911288;14536331;156292;0;25
r;434912110;14388774;156292;0;25
r;434999993;14539942;156292;0;25
r;368764962;251229;156292;0;26
r;359206050;216309;156292;0;30
r;396500622;15365751;156292;0;30
r;396501298;15480670;156292;0;30
r;401445001;15067643;156292;0;30
r;401445515;15639672;156292;0;30
r;414670782;15251156;156292;0;30
r;428361996;9743923;156292;0;30
r;23729305;1421926;156292;0;34
r;23729440;258430;156292;0;34
r;2162456;247255;156292;0;35
r;401445437;15416732;156292;0;40
r;407372386;15245281;156292;0;40
r;409667167;3302961;156292;0;40
r;412718787;336952;156292;0;40
r;365432941;237497;156292;0;41
r;3092154;256920;156292;0;43
r;11610876;256919;156292;0;43
