
e;156292;'salle de sport';1;222
e;148433;'gym';1;138
e;378472;'salle de gymnastique';1;50
e;156607;'salle de gym';1;72
e;12049566;'salle de fitness';1;8
r;408960426;156292;13197162;5;10
r;408960427;156292;148433;5;10
r;416235953;156292;15207620;5;15
r;416264122;156292;378472;5;15
r;416435381;156292;14941307;5;15
r;313658936;156292;156607;5;30
r;313658942;156292;12049566;5;38
r;313658937;156607;156292;5;30
r;402582279;14941307;156292;5;30
r;412871963;378472;156292;5;30
r;313658944;12049566;156292;5;42
r;401522156;15207620;156292;5;45
