
e;48041;'sauna';1;234
e;17614;'cabane';1;336
e;33256;'banc';1;462
e;98392;'vapeur';1;674
e;143613;'porte';1;4210
e;42836;'hydrologie';1;136
e;596097;'bain finnois';777;0
e;196771;'bain de vapeur';1;58
e;98636;'hammam';1;138
e;62046;'chauffage';1;518
e;19798;'sudatorium';1;50
e;146240;'cure';1;202
e;115188;'étuve';1;60
e;96851;'pièce';1;3162
e;42160;'baignade';1;292
e;1470;'immersion';1;82
e;134474;'piscine';1;1626
e;91548;'bains';1;88
e;102000;'hôtel';1;1498
e;32981;'ablution';1;64
e;139194;'toilette';1;438
e;65012;'eau';1;11015
e;158300;'balnéo';1;50
e;158397;'spa';1;80
e;10561;'douche';1;1398
e;90423;'sauner';1;50
e;135190;'lieu';1;1642
e;113013;'thermes';1;116
e;119686;'poêle';1;320
e;96256;'bois';1;4904
e;59618;'bain';1;936
e;23796;'soin du corps';1;122
e;110910;'chaleur';1;2392
e;19150;'chaud';1;2304
e;25008;'pierre';1;2550
e;25599;'serviette';1;828
e;10325103;'planète-sauna';777;0
e;271636;'Costa Concordia';666;52
e;25769;'bordel';1;928
e;266451;'homosexualité masculine';1;2
e;2083370;'saunas';2;0
e;106115;'se déchausser';1;62
e;4690;'faire suer';1;52
e;257122;'rhassoul';1;30
e;2496939;'Jacuzzi';1;0
e;153162;'masseuse';1;184
e;80522;'jacuzzi';1;62
e;232001;'bain bouillonnant';1;2
e;232000;'bain à remous';1;4
e;15305358;'whirlpool';1;0
e;254682;'massage avec finition';1;10
e;91609;'bain-sauna';1;50
e;196774;'bain turc';1;68
e;124612;'Bain turc';1;50
r;427867069;48041;17614;0;1
r;9978663;48041;33256;0;4
r;9978662;48041;98392;0;4
r;12877688;48041;321951;0;4
r;9982829;48041;143613;0;23
r;415845138;48041;15261523;0;25
r;418320028;48041;42836;0;25
r;425120777;48041;596097;0;25
r;418320029;48041;196771;0;27
r;1002310;48041;98636;0;30
r;1341878;48041;62046;0;30
r;54698200;48041;19798;0;30
r;390939462;48041;14960406;0;30
r;9974156;48041;146240;0;46
r;12311970;48041;115188;0;46
r;243483783;48041;96851;0;46
r;1002305;48041;42160;0;47
r;1002306;48041;1470;0;47
r;1002311;48041;134474;0;47
r;54590355;48041;91548;0;47
r;98637402;48041;102000;0;47
r;1002307;48041;32981;0;48
r;1002309;48041;139194;0;48
r;9978660;48041;65012;0;48
r;9974158;48041;158300;0;49
r;9974646;48041;158397;0;49
r;1002308;48041;10561;0;52
r;87485630;48041;90423;0;52
r;9640484;48041;135190;0;54
r;9974154;48041;113013;0;54
r;9982831;48041;119686;0;83
r;9978730;48041;96256;0;103
r;11941624;48041;59618;0;131
r;2076795;48041;23796;0;150
r;1341879;48041;110910;0;153
r;1805551;48041;19150;0;160
r;1805552;48041;25008;0;163
r;1805553;48041;25599;0;163
r;24042067;48041;239128;0;1000000
r;269739040;10325103;48041;0;1
r;428470119;271636;48041;0;7
r;431119855;15083942;48041;0;10
r;431120057;14941474;48041;0;10
r;432470272;14966195;48041;0;10
r;10988498;321951;48041;0;17
r;98632200;65012;48041;0;18
r;29305075;146240;48041;0;21
r;1022146;113013;48041;0;22
r;743286;32981;48041;0;23
r;29304978;158300;48041;0;23
r;29328003;119686;48041;0;23
r;97319731;25769;48041;0;23
r;390939464;14960406;48041;0;25
r;415845137;15261523;48041;0;25
r;894876;1470;48041;0;26
r;3101670;266451;48041;0;26
r;29305104;158397;48041;0;28
r;87598795;2083370;48041;0;28
r;774925;42160;48041;0;29
r;12299457;115188;48041;0;29
r;831728;10561;48041;0;30
r;959858;134474;48041;0;30
r;1023147;139194;48041;0;30
r;8912039;110910;48041;0;30
r;12311971;59618;48041;0;30
r;53863547;91548;48041;0;30
r;98281223;102000;48041;0;30
r;21161308;62046;48041;0;34
r;28222306;226545;48041;0;34
r;104343564;106115;48041;0;44
r;407475257;15046215;48041;0;50
r;99331847;244003;48041;0;51
r;217976451;4690;48041;0;51
r;25171197;596097;48041;0;52
r;1623867;19798;48041;0;54
r;2450211;257122;48041;0;55
r;63300062;2496939;48041;0;55
r;425460;153162;48041;0;58
r;10581614;135190;48041;0;59
r;1627499;80522;48041;0;60
r;2068724;232001;48041;0;60
r;410723299;14944657;48041;0;60
r;410723433;7322501;48041;0;60
r;410723847;14965080;48041;0;60
r;410724118;15211640;48041;0;60
r;410724163;232000;48041;0;60
r;412387681;15305358;48041;0;60
r;1560461;23796;48041;0;63
r;398284518;15307351;48041;0;65
r;2458963;254682;48041;0;70
r;232059;98636;48041;0;80
r;2506611;196771;48041;0;80
r;1716807;98392;48041;0;89
r;11864943;91609;48041;0;103
r;402448313;15046217;48041;0;130
r;2431450;196774;48041;0;180
r;85006170;124612;48041;0;180
