
e;34025;'savoir';1;862
e;218636;'savoirs';1;64
e;431550;'savent';1;50
e;2083603;'saurai';2;0
e;2113183;'sussions';2;0
e;399513;'sache';1;50
e;421952;'saurait';1;50
e;2083632;'sauras';2;0
e;143019;'sus';1;52
e;418512;'savait';1;50
e;2084568;'saviez';2;0
e;2083744;'saurons';2;0
e;2076861;'sachiez';2;0
e;2113178;'sussent';2;0
e;419941;'saura';1;50
e;2113179;'susse';2;0
e;2113286;'sût';2;0
e;157781;'sachant';1;52
e;86326;'su';1;100
e;2083722;'saurions';2;0
e;2076849;'saches';2;0
e;2111152;'surent';2;0
e;2083596;'sauraient';2;0
e;2076859;'sachez';2;0
e;398637;'savez';1;50
e;2083719;'sauriez';2;0
e;2084444;'savais';2;0
e;81430;'savons';1;50
e;397682;'sais';1;50
e;2083611;'saurais';2;0
e;2083689;'saurez';2;0
e;2113281;'sûtes';2;0
e;2076864;'sachons';2;0
e;2076845;'sachent';2;0
e;2084441;'savaient';2;0
e;2108940;'sues';2;0
e;2113182;'sussiez';2;0
e;2076863;'sachions';2;0
e;2083767;'sauront';2;0
e;2109629;'sûmes';2;0
e;2113181;'susses';2;0
e;2113284;'sut';2;0
e;2108939;'sue';2;0
e;2084569;'savions';2;0
e;399518;'sait';1;50
r;332121;34025;34025;19;56
r;363962378;14281915;34025;19;25
r;364038019;14291392;34025;19;25
r;364052232;14293376;34025;19;25
r;364052243;14293378;34025;19;25
r;364092173;14300015;34025;19;25
r;364094234;14300445;34025;19;25
r;1860637;218636;34025;19;28
r;14362173;431550;34025;19;51
r;32173426;2083603;34025;19;51
r;32494248;2113183;34025;19;51
r;14361927;399513;34025;19;52
r;14362117;421952;34025;19;52
r;32173432;2083632;34025;19;52
r;335904;143019;34025;19;53
r;14362153;418512;34025;19;53
r;32394298;2084568;34025;19;54
r;32173485;2083744;34025;19;55
r;32372359;2076861;34025;19;55
r;32494224;2113178;34025;19;55
r;332121;34025;34025;19;56
r;14362122;419941;34025;19;56
r;32494228;2113179;34025;19;56
r;32494526;2113286;34025;19;56
r;331414;157781;34025;19;57
r;335879;86326;34025;19;57
r;32173469;2083722;34025;19;57
r;32372323;2076849;34025;19;57
r;32486805;2111152;34025;19;57
r;32173424;2083596;34025;19;58
r;32372345;2076859;34025;19;58
r;14362179;398637;34025;19;59
r;32173459;2083719;34025;19;59
r;32394171;2084444;34025;19;59
r;332136;81430;34025;19;60
r;14362003;397682;34025;19;60
r;32173429;2083611;34025;19;60
r;32173446;2083689;34025;19;60
r;32494518;2113281;34025;19;60
r;32372382;2076864;34025;19;61
r;32372297;2076845;34025;19;62
r;32394162;2084441;34025;19;62
r;32478113;2108940;34025;19;62
r;32494243;2113182;34025;19;62
r;32372370;2076863;34025;19;63
r;32391673;2083767;34025;19;63
r;32480912;2109629;34025;19;63
r;32494236;2113181;34025;19;63
r;32494520;2113284;34025;19;63
r;32478107;2108939;34025;19;66
r;32394308;2084569;34025;19;68
r;14342467;399518;34025;19;105
