
e;50733;'serveur';1;932
e;113781;'loufiat';1;58
e;16059;'serveuse';1;394
e;66231;'garçon de café';1;88
e;75249;'serviteurs';1;58
e;145655;'servant';1;114
e;25348;'serviteur';1;196
e;1373;'barman';1;256
e;141168;'domestique';1;542
e;142124;'garçon';1;3004
r;416233300;50733;8040069;5;20
r;416233305;50733;15259182;5;20
r;416233309;50733;15044461;5;20
r;416233314;50733;15259181;5;20
r;416233318;50733;15044462;5;20
r;310025773;50733;599489;5;25
r;310025775;50733;599490;5;25
r;310078636;50733;594917;5;25
r;310078638;50733;594918;5;25
r;98036856;50733;113781;5;26
r;98036857;50733;217363;5;26
r;98036854;50733;16059;5;27
r;213812096;50733;8040067;5;27
r;1735637;50733;66231;5;28
r;85640716;50733;75249;5;31
r;54635516;50733;145655;5;53
r;54800109;50733;25348;5;60
r;693337;50733;1373;5;81
r;693338;50733;141168;5;81
r;693339;50733;142124;5;83
r;414666025;8040042;50733;5;10
r;414666395;7437597;50733;5;10
r;98344188;113781;50733;5;26
r;98344203;16059;50733;5;26
r;98344189;217363;50733;5;28
r;85612685;75249;50733;5;29
r;309327783;594917;50733;5;33
r;309327784;594918;50733;5;33
r;309367311;599489;50733;5;33
r;309367312;599490;50733;5;33
r;54721998;25348;50733;5;59
r;54607360;145655;50733;5;60
r;615858;142124;50733;5;75
r;569583;141168;50733;5;79
r;212648377;8040067;50733;5;80
r;405765452;15044462;50733;5;95
r;670316;1373;50733;5;99
r;405765646;15259181;50733;5;100
r;405765836;15044461;50733;5;100
r;405766029;15259182;50733;5;100
r;405766216;8040069;50733;5;100
r;1612969;66231;50733;5;270
