
e;25599;'serviette';1;828
e;252014;'serviette périodique';1;2
e;57803;'garniture';1;168
e;89767;'essuie-mains';1;54
e;87841;'torchon';1;312
e;25932;'sortie de bain';1;54
e;37498;'attaché-case';1;64
e;163883;'serviette de plage';1;104
e;155202;'serviette hygiénique';1;130
e;6871;'serviette de toilette';1;78
e;166397;'serviette de bain';1;94
e;155029;'serviette de table';1;100
e;38236;'serviette-éponge';1;54
e;62597;'portefeuille';1;438
e;94254;'cartable';1;392
e;131005;'essuie-main';1;60
e;36552;'mallette';1;62
e;63999;'sacoche';1;196
e;608;'porte-documents';1;104
e;150542;'sortie-de-bain';1;50
e;252013;'garniture périodique';1;50
r;416383936;25599;252014;5;15
r;416383940;25599;14961128;5;15
r;416383945;25599;14961126;5;15
r;416383949;25599;14961127;5;15
r;416505985;25599;15046814;5;15
r;416207477;25599;15196319;5;20
r;295983890;25599;7096276;5;25
r;361192642;25599;14222269;5;25
r;361488395;25599;57803;5;25
r;390938553;25599;14961130;5;25
r;13620737;25599;89767;5;31
r;645215;25599;87841;5;34
r;54757284;25599;25932;5;51
r;12126291;25599;37498;5;53
r;12126290;25599;163883;5;55
r;12126286;25599;155202;5;57
r;12126289;25599;6871;5;57
r;12126287;25599;166397;5;58
r;12126292;25599;155029;5;59
r;12126288;25599;38236;5;60
r;53732322;25599;62597;5;67
r;645213;25599;94254;5;77
r;645216;25599;131005;5;78
r;645218;25599;36552;5;81
r;645217;25599;63999;5;82
r;645214;25599;608;5;85
r;82224508;150542;25599;5;2
r;396963586;15135494;25599;5;10
r;396876444;15503049;25599;5;10
r;412015598;15418051;25599;5;10
r;412016518;14947576;25599;5;10
r;412254803;252013;25599;5;10
r;396876417;15217105;25599;5;20
r;410762594;14961126;25599;5;20
r;410762612;14961127;25599;5;20
r;410762634;14961128;25599;5;20
r;412254703;252014;25599;5;20
r;295983889;7096276;25599;5;25
r;360990887;14222269;25599;5;25
r;361058206;57803;25599;5;25
r;411932084;15196319;25599;5;25
r;12159065;38236;25599;5;26
r;12159061;37498;25599;5;28
r;12159068;155202;25599;5;29
r;12159066;166397;25599;5;30
r;12159062;163883;25599;5;31
r;12159064;6871;25599;5;32
r;54843256;25932;25599;5;52
r;53618411;62597;25599;5;55
r;424330;87841;25599;5;56
r;396278103;15046814;25599;5;60
r;12159060;155029;25599;5;64
r;390938555;14961130;25599;5;65
r;561141;63999;25599;5;78
r;685860;36552;25599;5;78
r;713633;94254;25599;5;81
r;669877;608;25599;5;83
r;730516;131005;25599;5;84
r;13457012;89767;25599;5;84
