
e;115483;'soirée';1;1118
e;2520716;'après-dînée';1;0
e;82519;'sauterie';1;74
e;2365871;'rout';1;2
e;59401;'après-souper';1;52
e;122842;'vêprée';1;52
e;32941;'après-dîner';1;52
e;53105;'bal';1;408
e;66909;'spectacle';1;2012
e;94053;'soir';1;1020
e;125901;'réception';1;520
e;144647;'fête';1;3402
e;82225;'veillée';1;76
e;54899;'réunion';1;636
e;78852;'raout';1;58
e;51484;'vesprée';1;50
r;309816060;115483;596660;5;25
r;309938992;115483;1715017;5;25
r;390937528;115483;14961762;5;25
r;98818317;115483;2520716;5;27
r;12192528;115483;82519;5;34
r;2027793;115483;220486;5;35
r;62030294;115483;2365871;5;37
r;54724047;115483;59401;5;54
r;54724049;115483;122842;5;54
r;54724048;115483;32941;5;56
r;577114;115483;53105;5;76
r;577116;115483;66909;5;77
r;577121;115483;94053;5;78
r;577115;115483;125901;5;79
r;577117;115483;144647;5;80
r;577119;115483;82225;5;83
r;577118;115483;54899;5;84
r;577120;115483;78852;5;84
r;82234206;51484;115483;5;2
r;391124723;14932858;115483;5;5
r;390937530;14961762;115483;5;25
r;12182491;220486;115483;5;26
r;1731438;82519;115483;5;31
r;309341189;596660;115483;5;33
r;309423109;1715017;115483;5;33
r;55158859;59401;115483;5;53
r;54935617;32941;115483;5;58
r;95729453;2520716;115483;5;58
r;55338776;122842;115483;5;60
r;577127;94053;115483;5;76
r;728043;125901;115483;5;76
r;577125;78852;115483;5;77
r;708248;82225;115483;5;77
r;61543414;2365871;115483;5;77
r;577835;54899;115483;5;80
r;577106;144647;115483;5;82
r;648734;53105;115483;5;82
r;662764;66909;115483;5;84
