
e;127337;'sommier';1;337
e;34898;'pied';1;4290
e;96256;'bois';1;4904
e;31526;'système';1;290
e;440895;'sommier à lattes';1;54
e;66759;'registrer';1;50
e;380314;'sommier de mousse';1;50
e;380315;'sommier divan';1;50
e;380318;'sommier à soufflets';1;50
e;380317;'sommier tapissier';1;54
e;380313;'sommier de chevilles';1;50
e;5430;'housse';1;90
e;380316;'sommier métallique';1;50
e;44386;'support';1;256
e;413318;'condamnations';1;50
e;98402;'condamnation';1;556
e;60829;'sommeil';1;1774
e;132744;'claveau';1;54
e;131643;'cerceau';1;74
e;127949;'renseignement';1;318
e;2457651;'claviot';1;0
e;128857;'délit';1;512
e;113278;'poitrail';1;66
e;50195;'piano';1;972
e;71637;'justice';1;1828
e;47503;'architrave';1;50
e;54620;'cadre';1;464
e;138712;'paillasse';1;98
e;63936;'tissu';1;2084
e;142736;'toile';1;1434
e;70904;'linteau';1;52
e;133795;'mobilier';1;490
e;34659;'gestion';1;235
e;68976;'instruments de musique';1;84
e;63985;'bord';1;362
e;36911;'fondation';1;162
e;84286;'traverse';1;140
e;39764;'registre';1;88
e;135190;'lieu';1;1642
e;70527;'musique';1;9752
e;7159;'droit';1;1600
e;154178;'lattes';1;76
e;82414;'drap';1;1262
e;380319;'sommier à ressorts';1;54
e;98040;'architecture';1;988
e;19152;'couche';1;406
e;124761;'bête de somme';1;80
e;143150;'latte';1;168
e;90075;'chambre';1;5104
e;43253;'dormir';1;6518
e;20534;'ressort';1;222
e;61092;'literie';1;362
e;107799;'matelas';1;994
e;71578;'lit';1;6032
e;191674;'pièce de mobilier';1;50
e;73944;'convertible';1;78
e;14174496;'livre de compte';1;0
e;20841;'laye';1;50
e;49319;'souplesse';1;204
e;2098349;'sommiers';2;0
e;113679;'instruments';1;110
e;316416;'music';777;50
e;4388581;'cache-sommier';1;10
e;156348;'tête de lit';1;52
e;4388583;'taie de traversin';1;12
e;4388582;'oreiller à mémoire de forme';1;10
e;14716538;'protège-oreiller';1;6
e;14716539;'drap plat';1;8
e;14716540;'protège-traversin';1;4
e;14510834;'lit douillet';1;0
e;4388580;'protège-matelas';1;14
e;14726403;'draps de lit';1;2
e;376327;'ressort de sommier';1;50
r;9978332;127337;34898;0;4
r;9978330;127337;96256;0;4
r;325769008;127337;31526;0;6
r;30663598;127337;440895;0;10
r;418331647;127337;66759;0;10
r;33903405;127337;380314;0;11
r;33903419;127337;380315;0;11
r;33903468;127337;380318;0;11
r;33903557;127337;380317;0;11
r;33904036;127337;380313;0;11
r;8424719;127337;5430;0;12
r;33903493;127337;380316;0;12
r;418331643;127337;44386;0;12
r;418331648;127337;413318;0;12
r;418331649;127337;98402;0;12
r;8550355;127337;60829;0;16
r;53718173;127337;132744;0;21
r;53718171;127337;131643;0;23
r;53718179;127337;127949;0;23
r;62037128;127337;2457651;0;24
r;415474371;127337;14931804;0;25
r;415474373;127337;15446525;0;25
r;415474375;127337;14962383;0;25
r;415474377;127337;15446524;0;25
r;415474379;127337;15446523;0;25
r;415989679;127337;14961878;0;25
r;415989681;127337;14961877;0;25
r;415989683;127337;14961876;0;25
r;418331645;127337;128857;0;25
r;1008771;127337;113278;0;26
r;98633676;127337;50195;0;26
r;418331644;127337;71637;0;26
r;1008770;127337;47503;0;27
r;9978421;127337;54620;0;27
r;53718175;127337;138712;0;27
r;9979047;127337;63936;0;28
r;9982898;127337;142736;0;29
r;1008769;127337;70904;0;30
r;1343842;127337;133795;0;30
r;1343843;127337;34659;0;30
r;1343844;127337;68976;0;30
r;1343846;127337;63985;0;30
r;12202198;127337;36911;0;30
r;53718181;127337;84286;0;30
r;53718178;127337;39764;0;31
r;9641555;127337;135190;0;32
r;9360822;127337;70527;0;43
r;9360821;127337;7159;0;48
r;3098254;127337;154178;0;53
r;3098252;127337;82414;0;55
r;14067734;127337;380319;0;58
r;1343845;127337;98040;0;61
r;9357324;127337;19152;0;61
r;9360820;127337;124761;0;61
r;3098253;127337;143150;0;64
r;3098251;127337;90075;0;66
r;63927;127337;43253;0;70
r;1498;127337;20534;0;73
r;9356041;127337;61092;0;76
r;1497;127337;107799;0;97
r;1496;127337;71578;0;140
r;24098373;127337;239128;0;1000000
r;25412701;191674;127337;0;2
r;9982869;90075;127337;0;4
r;9989345;73944;127337;0;4
r;9992606;215504;127337;0;7
r;10011224;213438;127337;0;7
r;10528758;154178;127337;0;9
r;400318342;14934607;127337;0;10
r;431244580;14174496;127337;0;10
r;9974346;20534;127337;0;11
r;418182865;20841;127337;0;12
r;15416686;98040;127337;0;13
r;98280171;49319;127337;0;15
r;98632167;54620;127337;0;18
r;98632215;63936;127337;0;19
r;963129;113278;127337;0;21
r;15412529;70527;127337;0;21
r;15426666;7159;127337;0;21
r;54320029;127949;127337;0;21
r;54320026;131643;127337;0;22
r;53775825;39764;127337;0;23
r;54320028;138712;127337;0;23
r;29328013;142736;127337;0;24
r;61022766;2457651;127337;0;24
r;374320929;14722652;127337;0;25
r;415474370;14931804;127337;0;25
r;415474372;15446525;127337;0;25
r;415474374;14962383;127337;0;25
r;415474376;15446524;127337;0;25
r;415474378;15446523;127337;0;25
r;415989678;14961878;127337;0;25
