
e;127337;'sommier';1;337
e;36911;'fondation';1;162
e;2457651;'claviot';1;0
e;138712;'paillasse';1;98
e;47503;'architrave';1;50
e;131643;'cerceau';1;74
e;132744;'claveau';1;54
e;113278;'poitrail';1;66
e;70904;'linteau';1;52
e;127949;'renseignement';1;318
e;39764;'registre';1;88
e;84286;'traverse';1;140
r;1701153;127337;36911;5;35
r;61422832;127337;2457651;5;47
r;53682085;127337;138712;5;51
r;53682082;127337;47503;5;56
r;53682083;127337;131643;5;57
r;53682084;127337;132744;5;57
r;53682086;127337;113278;5;57
r;53682081;127337;70904;5;58
r;53682088;127337;127949;5;59
r;53682087;127337;39764;5;60
r;53682089;127337;84286;5;60
r;12202199;36911;127337;5;35
r;61022775;2457651;127337;5;48
r;53553107;39764;127337;5;53
r;53718169;70904;127337;5;69
r;53718170;47503;127337;5;69
r;53718172;131643;127337;5;69
r;53718174;132744;127337;5;69
r;53718177;113278;127337;5;69
r;53718180;127949;127337;5;69
r;53718182;84286;127337;5;69
r;53718176;138712;127337;5;91
