
e;158397;'spa';1;80
e;122400;'établissement thermal';1;52
e;247688;'ville thermale';1;62
e;15305353;'complexe spa';1;0
e;15305358;'whirlpool';1;0
e;146147;'ville d'eaux';1;58
e;232001;'bain bouillonnant';1;2
e;152404;'SPA';1;130
e;13758182;'syndrome de lloyd';1;0
e;135190;'lieu';1;1642
e;2496939;'Jacuzzi';1;0
e;91010;'Lloyd';1;50
e;107313;'Spa';1;66
e;48041;'sauna';1;234
e;6320070;'syndrome polyglandulaire auto-immun';1;0
e;6347463;'polyendocrinopathie auto-immune';1;0
e;80522;'jacuzzi';1;62
e;407656;'SpA';1;50
e;73685;'sports';1;500
e;71539;'animaux';1;1488
e;6391604;'syndrome pluriglandulaire auto-immun';1;0
e;145246;'cheval';1;3352
e;319694;'processus pathologique';1;2
e;117095;'zoologie';1;1864
e;60361;'loisirs';1;404
e;104460;'chevaux';1;280
e;5625021;'centre d'hydrothérapie';777;0
e;83824;'équitation';1;500
e;140949;'équidés';1;64
e;56865;'sport';1;5088
e;232000;'bain à remous';1;4
e;50223;'station thermale';1;58
e;10778031;'spa-classic';777;0
e;12188437;'détermination de la présence de staphylococcus protéine a spa gène';1;0
e;10129;'Judd';1;50
e;32695;'fanion';1;60
e;35674;'VTT';1;112
e;143558;'FIAT';1;50
e;244191;'BAR';666;2
e;244205;'piscine à vagues';1;50
e;12106492;'staphylococcus protéine a spa gène';1;0
e;15992706;'barre de spa';1;0
e;11777517;'Grand Prix Priessnitz spa';777;0
e;271636;'Costa Concordia';666;52
e;152125;'Zoologie';1;210
e;2452712;'spadois';1;0
e;15205612;'sportif, sportive';1;0
e;258286;'bains thermaux';1;4
e;15409087;'cure de thalasso';1;0
e;11008816;'cure de thalassothérapie';1;0
r;429298558;158397;122400;0;5
r;429406257;158397;15253708;0;5
r;429467042;158397;247688;0;5
r;429467047;158397;15305354;0;5
r;429480656;158397;15305353;0;5
r;429480686;158397;15305358;0;5
r;418528547;158397;15198718;0;10
r;418548249;158397;146147;0;10
r;390936994;158397;14962208;0;21
r;97324633;158397;232001;0;23
r;14476712;158397;152404;0;24
r;400788615;158397;13758182;0;25
r;415098744;158397;14944656;0;25
r;415764966;158397;14944657;0;25
r;415764969;158397;14965080;0;25
r;415764980;158397;15211640;0;25
r;415988576;158397;7322501;0;25
r;415988578;158397;14962210;0;25
r;9641674;158397;135190;0;26
r;71491708;158397;2496939;0;26
r;120526275;158397;91010;0;27
r;14476710;158397;107313;0;28
r;29305104;158397;48041;0;28
r;120526263;158397;6320070;0;28
r;120526269;158397;6347463;0;29
r;12356516;158397;80522;0;30
r;14455914;158397;407656;0;30
r;83071199;158397;73685;0;30
r;83051847;158397;71539;0;32
r;120526273;158397;6391604;0;32
r;221025108;158397;9966090;0;32
r;146036029;158397;6802166;0;33
r;83043545;158397;145246;0;34
r;119403898;158397;319694;0;34
r;83048668;158397;117095;0;35
r;83049436;158397;60361;0;35
r;83051065;158397;104460;0;35
r;111522996;158397;5625021;0;35
r;83044340;158397;83824;0;36
r;83047824;158397;140949;0;43
r;83050168;158397;56865;0;43
r;1835000;158397;232000;0;45
r;1835001;158397;50223;0;55
r;24117946;158397;239128;0;1000000
r;275814407;10778031;158397;0;1
r;316585622;12188437;158397;0;1
r;423469546;10129;158397;0;1
r;423891683;32695;158397;0;1
r;423914434;35674;158397;0;1
r;428805814;143558;158397;0;1
r;432044163;244191;158397;0;2
r;2302655;244205;158397;0;5
r;315514381;12106492;158397;0;5
r;419647374;15992706;158397;0;7
r;302425577;11777517;158397;0;8
r;428470117;271636;158397;0;8
r;83477736;152125;158397;0;10
r;396941365;7469400;158397;0;10
r;396937446;15216686;158397;0;10
r;396933581;14929722;158397;0;10
r;418334675;2452712;158397;0;12
r;428221998;15205612;158397;0;20
r;83048667;117095;158397;0;22
r;83051064;104460;158397;0;22
r;14476711;107313;158397;0;23
r;14476713;152404;158397;0;24
r;83047823;140949;158397;0;24
r;390552300;7256380;158397;0;24
r;400788616;13758182;158397;0;25
r;390936996;14962208;158397;0;25
r;401521193;122400;158397;0;25
r;410493199;15253708;158397;0;25
r;412972929;50223;158397;0;25
r;412973036;247688;158397;0;25
r;413186454;15305354;158397;0;25
r;413558776;15198718;158397;0;25
r;413674908;146147;158397;0;25
r;415098743;14944656;158397;0;25
r;415988577;14962210;158397;0;25
r;2436750;258286;158397;0;26
r;111522995;5625021;158397;0;26
r;120526262;6320070;158397;0;26
r;413553135;15305353;158397;0;26
r;83050167;56865;158397;0;27
r;120526272;6391604;158397;0;27
r;146036030;6802166;158397;0;27
r;83051846;71539;158397;0;28
r;221025109;9966090;158397;0;28
r;83043544;145246;158397;0;29
r;83049435;60361;158397;0;29
r;83044339;83824;158397;0;30
r;120526268;6347463;158397;0;30
r;396913599;15409087;158397;0;30
r;395970335;15272839;158397;0;30
r;120526274;91010;158397;0;41
r;14455913;407656;158397;0;44
r;410723989;15305357;158397;0;45
r;9974646;48041;158397;0;49
r;412717030;15261523;158397;0;50
r;373153454;11008816;158397;0;51
r;391244858;12566931;158397;0;55
r;83071198;73685;158397;0;56
r;10582166;135190;158397;0;59
r;63300134;2496939;158397;0;60
r;410724015;15211640;158397;0;95
r;410723440;7322501;158397;0;100
r;12124866;232000;158397;0;101
r;1627530;80522;158397;0;105
r;1992436;232001;158397;0;105
r;410723306;14944657;158397;0;105
r;410723854;14965080;158397;0;105
r;410723927;15305358;158397;0;105
r;370745698;14590532;158397;0;125
