
e;158397;'spa';1;80
e;15305358;'whirlpool';1;0
e;15305353;'complexe spa';1;0
e;247688;'ville thermale';1;62
e;50223;'station thermale';1;58
e;122400;'établissement thermal';1;52
e;146147;'ville d'eaux';1;58
e;6347463;'polyendocrinopathie auto-immune';1;0
e;6320070;'syndrome polyglandulaire auto-immun';1;0
e;6391604;'syndrome pluriglandulaire auto-immun';1;0
e;232001;'bain bouillonnant';1;2
e;80522;'jacuzzi';1;62
e;2496939;'Jacuzzi';1;0
e;232000;'bain à remous';1;4
r;416236518;158397;14944657;5;15
r;416236521;158397;15305358;5;15
r;416236524;158397;14965080;5;15
r;416236532;158397;7322501;5;15
r;416236540;158397;15211640;5;15
r;416236565;158397;15305353;5;15
r;416254520;158397;247688;5;15
r;416254529;158397;15305354;5;15
r;416254538;158397;50223;5;15
r;416364625;158397;15253708;5;15
r;416532450;158397;122400;5;15
r;416208095;158397;146147;5;20
r;416233841;158397;15198718;5;20
r;348577398;158397;6347463;5;25
r;348577399;158397;6320070;5;25
r;348577400;158397;6391604;5;25
r;390936995;158397;14962208;5;25
r;97324634;158397;232001;5;27
r;12187203;158397;80522;5;28
r;68543997;158397;2496939;5;35
r;1835004;158397;232000;5;43
r;413553136;15305353;158397;5;20
r;348577395;6320070;158397;5;25
r;348577397;6347463;158397;5;25
r;348577404;6391604;158397;5;25
r;390936997;14962208;158397;5;25
r;401521194;122400;158397;5;25
r;410493200;15253708;158397;5;25
r;412972930;50223;158397;5;25
r;412973037;247688;158397;5;25
r;413186455;15305354;158397;5;25
r;413558777;15198718;158397;5;25
r;413674909;146147;158397;5;25
r;63300135;2496939;158397;5;35
r;410724006;15211640;158397;5;120
r;12187198;232000;158397;5;122
r;1834992;80522;158397;5;125
r;410723391;7322501;158397;5;125
r;410723922;15305358;158397;5;125
r;410723805;14965080;158397;5;130
r;97859582;232001;158397;5;134
r;410723257;14944657;158397;5;135
