
e;71170;'surveillé';1;76
e;14679314;'se sentir surveillé';1;8
e;15382338;'Il croyait être surveillé.';1;0
e;1773166;'non surveillé';1;0
e;2938038;'être surveillé';1;2
e;3192333;'vidéo-surveillé';1;0
e;3202028;'auto-surveillé';1;0
e;351818;'enfant surveillé';1;50
e;353047;'externe surveillé';1;50
e;368755;'parking surveillé';1;50
e;250730;'devoir surveillé';1;16
r;373217975;71170;14679314;11;26
r;310280625;71170;3203767;11;30
r;310280626;71170;3222838;11;30
r;310280627;71170;3222839;11;30
r;310280628;71170;3203768;11;30
r;402105158;71170;15382338;11;50
r;29138066;71170;1773166;11;55
r;72314141;71170;2938038;11;57
r;77365549;71170;3192333;11;59
r;77362416;71170;3202028;11;60
r;12696095;71170;351818;11;104
r;12691089;71170;353047;11;106
r;12627455;71170;368755;11;109
r;8714154;71170;250730;11;161
