
e;145752;'sûr';1;232
e;15367424;'il est sûr de lui-même';1;0
e;15385767;'j'en suis quasiment sûr que ...';1;0
e;15583137;'être sûr que ...';1;0
e;15953252;'ne pas être sûr';1;4
e;15385824;'bien sûr !';1;0
e;16040723;'bien sûr que';1;0
e;15452430;'bien sûr que + [indicatif]';1;0
e;15385810;'bien sûr que non';1;0
e;15385812;'bien sûr que oui';1;0
e;16040724;'bien sûr que si';1;0
e;15356791;'bien sûr.';1;0
e;15370940;'c'est du sûr';1;0
e;15336334;'c'est sûr';1;0
e;15398075;'ce n'est pas sûr';1;0
e;15206749;'chemin acoustique sûr';1;0
e;15334776;'On aida les survivants à se réfugier en lieu sûr.';1;0
e;15314526;'On avait emporté des tableaux précieux pour les mettre en lieu sûr.';1;0
e;15448550;'Pas si sûr !';1;0
e;15246526;'Vous êtes sûr que cette pendule est juste?';1;0
e;12079188;'gars sûr';1;0
e;12048849;'maintenir un environnement de travail sûr hygiénique et sécurisé';1;0
e;2376011;'le plus sûr';1;0
e;2376653;'être sûr de son fait';1;0
e;15488532;''Je peux venir avec toi?' -- 'Bien sûr.'';1;0
e;8568873;'sûr de lui';1;0
e;15269275;'Gardez votre passeport dans un endroit sûr.';1;0
e;15425916;'J'en étais sûr !';1;0
e;15412700;'Ils ont été transférés en lieu sûr par pont aérien.';1;0
e;15234353;'Il est sûr d'échouer.';1;0
e;15385807;'Bien sûr que';1;0
e;15385826;'Bien sûr que non.';1;0
e;15385817;'Bien sûr,';1;0
e;15385819;'Bien sûr.';1;0
e;15446711;'Bien sûr que oui !';1;0
e;15496884;'Je peux dire à coup sûr ...';1;0
e;15648592;'Je suis sûr qu'il y a eu une erreur';1;0
e;15690645;'Je suis sûr que tout ira bien.';1;0
e;1741196;'être sûr de soi';1;6
e;2339998;'faire à coup sûr';1;0
e;2600339;'mais c'est bien sûr';1;0
e;1757133;'rien n'est moins sûr';1;0
e;2525911;'mais bien sûr';1;0
e;385398;'tuyau sûr';1;50
e;383168;'temps sûr';1;50
e;370377;'pied sûr';1;50
e;379602;'si bien sûr';1;50
e;379615;'si sûr';1;50
e;351595;'en un endroit sûr';1;50
e;346543;'dans un lieu sûr';1;50
e;346531;'dans un endroit sûr';1;50
e;343819;'choix sûr';1;50
e;356420;'goût sûr';1;50
e;314346;'presque sûr';1;50
e;259669;'être sûr de son coup';1;50
e;106604;'tenir pour sûr';1;50
e;237974;'rendre sûr';1;50
e;238971;'mais oui, mais c'est bien sûr';1;2
e;263515;'peu sûr';1;50
e;66693;'à coup sûr';1;52
e;121224;'tenir comme sûr';1;50
e;122417;'le plus sûr serait de';1;50
e;122437;'pour sûr';1;50
e;208587;'sûr et certain';1;52
e;19188;'être sûr de partie';1;50
e;50178;'avoir pour sûr';1;50
e;79740;'lieu sûr';1;50
e;83117;'sûr de soi';1;58
e;125568;'bien sûr';1;72
e;181840;'coup sûr';1;50
e;186134;'être sûr';1;4
e;203756;'mettre en lieu sûr';1;50
e;199306;'en lieu sûr';1;50
e;200077;'être peu sûr de soi';1;50
r;310678971;145752;3183333;11;25
r;310678972;145752;586373;11;25
r;310678974;145752;440137;11;25
r;310678975;145752;586374;11;25
r;310678976;145752;3183726;11;25
r;394779426;145752;15367424;11;25
r;394907594;145752;15385767;11;25
r;399575654;145752;15583137;11;25
r;416130089;145752;15953252;11;26
r;419652866;145752;15385824;11;32
r;419652872;145752;16040723;11;32
r;419652878;145752;15452430;11;32
r;419652888;145752;15385810;11;32
r;419652896;145752;15385812;11;32
r;419652908;145752;16040724;11;32
r;419652920;145752;15356791;11;32
r;419670419;145752;15370940;11;32
r;419671545;145752;15336334;11;32
r;419691266;145752;15398075;11;32
r;419704697;145752;15206749;11;32
r;419518251;145752;15334776;11;34
r;419518307;145752;15314526;11;34
r;419522751;145752;15448550;11;34
r;419562392;145752;15246526;11;34
r;315119345;145752;12079188;11;35
r;313627439;145752;12048849;11;36
r;52220025;145752;2376011;11;39
r;52223480;145752;2376653;11;40
r;397020629;145752;15488532;11;50
r;153087320;145752;8568873;11;50
r;400712030;145752;15269275;11;50
r;402151311;145752;15425916;11;50
r;402113295;145752;15412700;11;50
r;402106240;145752;15234353;11;50
r;395010377;145752;15385807;11;50
r;395010381;145752;15385826;11;50
r;395010387;145752;15385817;11;50
r;395010391;145752;15385819;11;50
r;395567409;145752;15446711;11;50
r;402273331;145752;15496884;11;50
r;402274169;145752;15648592;11;50
r;414592512;145752;15690645;11;50
r;28613471;145752;1741196;11;51
r;34316658;145752;2339998;11;54
r;55141225;145752;2600339;11;54
r;18708364;145752;597274;11;57
r;18708275;145752;597275;11;58
r;28917739;145752;1757133;11;58
r;52464330;145752;2525911;11;58
r;12559767;145752;385398;11;102
r;12568877;145752;383168;11;104
r;12620941;145752;370377;11;105
r;12583079;145752;379602;11;106
r;12583049;145752;379615;11;107
r;12696973;145752;351595;11;107
r;12717387;145752;346543;11;107
r;12717463;145752;346531;11;108
r;12729311;145752;343819;11;108
r;12677451;145752;356420;11;110
r;8826053;145752;314346;11;158
r;8725916;145752;259669;11;160
r;8606500;145752;106604;11;161
r;8705151;145752;237974;11;161
r;8705832;145752;238971;11;161
r;8730720;145752;263515;11;161
r;8592520;145752;66693;11;162
r;8611792;145752;121224;11;162
r;8612211;145752;122417;11;162
r;8612215;145752;122437;11;162
r;8682203;145752;208587;11;162
r;8576259;145752;19188;11;163
r;8586810;145752;50178;11;163
r;8597007;145752;79740;11;163
r;8598162;145752;83117;11;163
r;8613322;145752;125568;11;163
r;8639061;145752;181840;11;163
r;8646125;145752;186134;11;163
r;8674172;145752;203756;11;163
r;8666491;145752;199306;11;164
r;8667752;145752;200077;11;164
