
e;52711;'taie';1;214
e;155480;'taie d'oreiller';1;90
e;71578;'lit';1;6032
e;38057;'traversin';1;326
e;43751;'armoire';1;1156
e;145644;'tacher';1;174
e;75054;'envelopper';1;196
e;139743;'enveloppe';1;874
e;152260;'linge de maison';1;124
e;83136;'leucoma';1;50
e;118208;'néphélion';1;50
e;77424;'oeil';1;3212
e;133795;'mobilier';1;490
e;111166;'pathologie';1;470
e;141839;'fourre';1;52
e;61092;'literie';1;362
e;5430;'housse';1;90
e;72917;'albugo';1;50
e;23069;'nébulosité de la cornée';1;50
e;130400;'maladie';1;8335
e;127860;'troubles de la vision';1;56
e;35729;'coussin';1;496
e;102206;'médecine';1;7144
e;141796;'tache';1;282
e;90075;'chambre';1;5104
e;92471;'linge';1;1116
e;81637;'oreiller';1;1416
e;54403;'cornée';1;132
e;70998;'trousseau';1;206
e;82414;'drap';1;1262
e;61070;'leucome';1;50
e;6406661;'taie cornéenne affectant la vision centrale';1;0
e;6311419;'taie cornéenne centrale';1;0
e;6345729;'taie cornéenne périphérique';1;0
e;141451;'trouble';1;494
e;45898;'toile de lin';1;52
e;1460189;'en lin';1;0
e;2078647;'taies';2;0
e;2557315;'sous-taie';1;10
e;14561358;'percale de coton';1;2
e;14583997;'linge en coton';1;2
e;4388583;'taie de traversin';1;12
r;34264483;52711;155480;0;7
r;9973036;52711;71578;0;10
r;9973032;52711;38057;0;10
r;9973030;52711;43751;0;10
r;418347168;52711;145644;0;10
r;418347165;52711;75054;0;12
r;97139044;52711;139743;0;15
r;9973000;52711;152260;0;21
r;54805540;52711;83136;0;22
r;54805546;52711;118208;0;22
r;9974079;52711;77424;0;25
r;415447937;52711;15453741;0;25
r;415447939;52711;15453740;0;25
r;415447941;52711;15453739;0;25
r;415447943;52711;15247068;0;25
r;415447945;52711;15453738;0;25
r;415447947;52711;14923010;0;25
r;415833336;52711;14918865;0;25
r;415833338;52711;15267821;0;25
r;415833340;52711;14950617;0;25
r;415984357;52711;14963568;0;25
r;415984359;52711;14963567;0;25
r;415984361;52711;7786354;0;25
r;418347164;52711;133795;0;25
r;418347167;52711;111166;0;25
r;1019283;52711;141839;0;27
r;9973560;52711;61092;0;28
r;12244404;52711;5430;0;29
r;15508305;52711;225934;0;29
r;25953830;52711;1636805;0;29
r;54805542;52711;72917;0;29
r;54805544;52711;23069;0;29
r;1347262;52711;130400;0;30
r;1347263;52711;127860;0;30
r;9973034;52711;35729;0;30
r;15357894;52711;102206;0;35
r;9678482;52711;141796;0;46
r;9973562;52711;90075;0;51
r;9678480;52711;92471;0;52
r;1640048;52711;81637;0;57
r;1640070;52711;54403;0;62
r;24045482;52711;239128;0;1000000
r;9981612;70998;52711;0;4
r;2354336;82414;52711;0;5
r;82234355;61070;52711;0;5
r;305318246;6406661;52711;0;5
r;299587368;6311419;52711;0;7
r;301560139;6345729;52711;0;7
r;399133616;7096379;52711;0;20
r;25807941;1636805;52711;0;22
r;12297243;5430;52711;0;23
r;873343;141839;52711;0;24
r;415447936;15453741;52711;0;25
r;415447938;15453740;52711;0;25
r;415447940;15453739;52711;0;25
r;415447944;15453738;52711;0;25
r;415447946;14923010;52711;0;25
r;415833335;14918865;52711;0;25
r;415833337;15267821;52711;0;25
r;415833339;14950617;52711;0;25
r;415984358;14963567;52711;0;25
r;10598770;92471;52711;0;26
r;10598771;141796;52711;0;26
r;59250650;118208;52711;0;26
r;2176348;71578;52711;0;28
r;15289579;102206;52711;0;28
r;21118176;130400;52711;0;28
r;59250649;23069;52711;0;28
r;11703918;225934;52711;0;29
r;21115349;141451;52711;0;29
r;54945361;72917;52711;0;31
r;55049453;83136;52711;0;35
r;29304989;77424;52711;0;38
r;398940698;7224310;52711;0;40
r;408169843;45898;52711;0;40
r;408169883;1460189;52711;0;40
r;418794262;15207179;52711;0;40
r;87592254;2078647;52711;0;42
r;52493025;2557315;52711;0;51
r;370158796;14561358;52711;0;51
r;423889465;14583997;52711;0;51
r;368801;38057;52711;0;60
r;415447942;15247068;52711;0;60
r;99306486;4388583;52711;0;63
r;407280582;15074574;52711;0;65
r;415984356;14963568;52711;0;65
r;415984360;7786354;52711;0;65
r;1625917;152260;52711;0;66
r;275206;35729;52711;0;70
r;395047;61092;52711;0;133
r;1857234;155480;52711;0;145
r;110667;81637;52711;0;404
