
e;96243;'tenu';1;86
e;15692825;'tenu en dehors d'une action collective';1;0
e;13728049;'être tenu d'entretenir';1;0
e;14231807;'propos tenu à l'oral';1;0
e;14633326;'Le débiteur est tenu d'une dette';777;0
e;14638122;'être tenu compte de';1;0
e;14670888;'être tenu';1;8
e;15486457;'compte tenu de ce que vous avez dit';1;0
e;15360099;'compte tenu de ce qui précède,';1;0
e;15455674;'Pari tenu !';1;0
e;3186009;'Conseil tenu par les rats';1;0
e;3202084;'contre-tenu';1;0
e;3343252;'tenu en état';1;0
e;2153345;'compte tenu d'';2;0
e;3035628;'compte-tenu';1;0
e;1972229;'compte tenu';1;0
e;383285;'tenu par le secret professionnel';1;50
e;316289;'tenu au secret';1;62
e;254169;'être tenu au secret';1;50
e;210168;'à l'impossible nul n'est tenu';1;50
e;254168;'tenu secret';1;52
e;45353;'être tenu de';1;52
e;65525;'bien tenu';1;56
e;77795;'tenu pour';1;50
e;191662;'être tenu pour';1;50
e;203337;'mal tenu';1;50
e;200132;'être tenu à';1;50
e;197853;'compte non tenu de';1;50
e;197855;'compte tenu de';1;50
r;310767536;96243;597606;11;15
r;310767537;96243;586524;11;15
r;310672521;96243;9039480;11;22
r;403474468;96243;15692825;11;25
r;348128207;96243;13728049;11;25
r;361286114;96243;14231807;11;25
r;371765149;96243;14633326;11;25
r;371855769;96243;14638122;11;25
r;373064412;96243;14670888;11;26
r;310672684;96243;9039481;11;30
r;310672685;96243;586525;11;30
r;310672686;96243;597607;11;30
r;419726972;96243;15486457;11;31
r;419726987;96243;15360099;11;31
r;419521717;96243;15455674;11;34
r;219492826;96243;9903785;11;42
r;219492233;96243;9903786;11;42
r;122471576;96243;6670598;11;44
r;122470596;96243;6670597;11;47
r;77290024;96243;3186009;11;51
r;77360092;96243;3202084;11;51
r;85596616;96243;3343252;11;52
r;16399754;96243;465364;11;56
r;33105911;96243;2153345;11;58
r;16399752;96243;465365;11;60
r;74949343;96243;3035628;11;62
r;31796625;96243;1972229;11;65
r;12568403;96243;383285;11;104
r;8871329;96243;316289;11;154
r;8718033;96243;254169;11;160
r;8728674;96243;261895;11;160
r;8728675;96243;261896;11;160
r;8684838;96243;210168;11;161
r;8718031;96243;254168;11;161
r;8585085;96243;45353;11;162
r;8592147;96243;65525;11;162
r;8596292;96243;77795;11;163
r;8654186;96243;191662;11;163
r;8673439;96243;203337;11;163
r;8667846;96243;200132;11;164
r;8664088;96243;197853;11;165
r;8664093;96243;197855;11;165
