
e;125533;'terrasse';1;612
e;73343;'terrasser';1;308
e;208959;'terrassé';1;54
e;46123;'combles';1;94
e;152865;'plateforme';1;110
e;12717;'balcon';1;296
e;50472;'promenade';1;514
e;92198;'terrassement';1;154
e;141778;'comble';1;104
e;55033;'vire';1;70
e;83825;'esplanade';1;62
e;34148;'toit';1;1246
e;41837;'plate-forme';1;128
e;146386;'belvédère';1;52
r;85608261;125533;73343;5;-28
r;85608262;125533;208959;5;-26
r;416488378;125533;14936476;5;15
r;416488380;125533;14936478;5;15
r;310092639;125533;593595;5;25
r;85836591;125533;46123;5;28
r;310057345;125533;596994;5;29
r;13622987;125533;152865;5;32
r;593245;125533;12717;5;35
r;54703699;125533;50472;5;52
r;54741695;125533;92198;5;53
r;54741694;125533;141778;5;58
r;54741696;125533;55033;5;58
r;593246;125533;83825;5;75
r;593247;125533;34148;5;75
r;593249;125533;41837;5;78
r;593248;125533;146386;5;82
r;85643748;73343;125533;5;-4
r;85643749;208959;125533;5;-4
r;85792329;46123;125533;5;29
r;309318290;593595;125533;5;33
r;309344776;596994;125533;5;33
r;580442;12717;125533;5;34
r;406732430;14936476;125533;5;40
r;406732468;14936478;125533;5;40
r;55072066;92198;125533;5;51
r;54648943;50472;125533;5;53
r;55154610;55033;125533;5;57
r;55176603;141778;125533;5;57
r;646584;146386;125533;5;75
r;593255;41837;125533;5;76
r;709042;83825;125533;5;76
r;10714885;152865;125533;5;76
r;558477;34148;125533;5;84
