
e;143378;'thé';1;1656
e;406486;'tea';1;50
e;154877;'thé vert';1;308
e;17087;'the';1;50
e;109778;'théine';1;88
e;137864;'five o'clock';1;50
e;68000;'bavaroise';1;52
e;60813;'maté';1;70
e;12698;'ambroisie';1;108
e;26201;'goûter';1;908
e;42106;'collation';1;152
e;125901;'réception';1;520
e;16178;'théier';1;52
e;113547;'boisson';1;3942
e;160519;'théïne';1;52
r;309901423;143378;588295;5;25
r;309901425;143378;588296;5;25
r;309992694;143378;611658;5;25
r;310125399;143378;588586;5;25
r;310125401;143378;588587;5;25
r;310146352;143378;579839;5;25
r;310146354;143378;579840;5;25
r;372237123;143378;406486;5;25
r;390927539;143378;7049594;5;25
r;97124941;143378;154877;5;29
r;222992788;143378;17087;5;32
r;54782169;143378;109778;5;52
r;54782166;143378;137864;5;53
r;54782168;143378;68000;5;54
r;54782167;143378;60813;5;58
r;53767253;143378;12698;5;60
r;53747266;143378;26201;5;65
r;677478;143378;42106;5;76
r;677477;143378;125901;5;80
r;677479;143378;16178;5;81
r;677476;143378;113547;5;84
r;82198799;160519;143378;5;1
r;418967615;15434141;143378;5;10
r;371523426;406486;143378;5;25
r;372579236;7049594;143378;5;25
r;97859516;154877;143378;5;27
r;309271159;579839;143378;5;33
r;309271160;579840;143378;5;33
r;309286896;588295;143378;5;33
r;309286897;588296;143378;5;33
r;309289659;588586;143378;5;33
r;309289660;588587;143378;5;33
r;309390987;611658;143378;5;33
r;222992789;17087;143378;5;34
r;54821750;137864;143378;5;55
r;54821752;68000;143378;5;55
r;54821753;109778;143378;5;55
r;54821755;60813;143378;5;55
r;53584545;12698;143378;5;56
r;53604694;26201;143378;5;56
r;728038;125901;143378;5;77
r;584871;42106;143378;5;79
r;676987;16178;143378;5;82
r;566607;113547;143378;5;83
