
e;92836;'toilettes';1;888
e;74198;'effets';1;58
e;2081551;'sapes';2;2
e;422869;'loo';1;50
e;2605366;'scene';1;4
e;12529;'water-closets';1;60
e;78814;'pipi-room';1;54
e;258709;'cagoince';1;54
e;2435306;'watercloset';1;0
e;136771;'WC';1;476
e;1773803;'w c';1;0
e;42193;'lavatory';1;50
e;81235;'w.-c';1;50
e;226723;'sanisettes';1;4
e;7225;'litière';1;128
e;30142;'w.c';1;50
e;145356;'W.C';1;56
e;90645;'vécés';1;52
e;25132;'tenue';1;492
e;7592;'ajustement';1;84
e;143930;'mise';1;186
e;130778;'tailleur';1;242
e;70998;'trousseau';1;206
e;66380;'goguenots';1;58
e;77583;'gogues';1;58
e;161627;'wc';1;104
e;39676;'tartisses';1;56
e;183000;'lieu d'aisance';1;2
e;142299;'W.-C';1;50
e;92378;'habillement';1;598
e;92080;'vêtements';1;546
e;32981;'ablution';1;64
e;78813;'astiquage';1;50
e;110160;'robe';1;1122
e;125120;'toilettage';1;80
e;13880;'cabinets';1;104
e;179693;'w.-c.';1;50
e;68115;'waters';1;58
e;95364;'nettoyage';1;556
e;51445;'apprêts';1;50
e;59618;'bain';1;928
e;58088;'chiffon';1;484
e;125719;'coiffeuse';1;236
e;133857;'mode';1;1348
e;109023;'poudreuse';1;136
e;2512779;'gogs';1;0
e;109733;'propreté';1;482
e;142873;'costume';1;516
e;90053;'lavabo';1;712
e;115805;'soin';1;1282
e;2511898;'W.C.';1;0
e;48961;'parure';1;258
e;35925;'terrain';1;1782
e;123521;'water-closet';1;50
e;210065;'W. - C.';1;50
e;139781;'lieux d'aisances';1;58
e;127645;'chiotte';1;86
e;110365;'gogue';1;50
e;74913;'latrines';1;100
e;24814;'cabinet';1;788
e;77771;'petit coin';1;68
e;94933;'chiottes';1;296
r;418693491;92836;14925511;5;5
r;418693522;92836;9120862;5;5
r;416268322;92836;7420660;5;15
r;416343309;92836;74198;5;15
r;416416997;92836;14966796;5;15
r;416417081;92836;7010627;5;15
r;416202820;92836;2081551;5;20
r;416228692;92836;15251537;5;20
r;416228708;92836;14928034;5;20
r;309726898;92836;595416;5;25
r;309961842;92836;1169131;5;25
r;309997636;92836;606135;5;25
r;412919424;92836;7586645;5;25
r;412919425;92836;14925533;5;25
r;412919426;92836;14954145;5;25
r;412919435;92836;15101251;5;25
r;412919436;92836;7096309;5;25
r;412919437;92836;14954955;5;25
r;412919438;92836;15070022;5;25
r;412919439;92836;15066856;5;25
r;412919440;92836;14945968;5;25
r;412919441;92836;15076258;5;25
r;412919442;92836;15070021;5;25
r;412920562;92836;14944793;5;25
r;412920563;92836;15110526;5;25
r;412920566;92836;14921509;5;25
r;412920567;92836;15090553;5;25
r;412920568;92836;14962152;5;25
r;412920569;92836;9120871;5;25
r;412921427;92836;14954216;5;25
r;412921429;92836;12463812;5;25
r;412921432;92836;7096198;5;25
r;412921437;92836;7586152;5;25
r;412921440;92836;14922545;5;25
r;412921442;92836;14965744;5;25
r;412921444;92836;15061000;5;25
r;412921446;92836;14922929;5;25
r;412922300;92836;15048149;5;25
r;412922301;92836;15048147;5;25
r;412922302;92836;15048146;5;25
r;412922303;92836;12394466;5;25
r;412922304;92836;15048145;5;25
r;412922305;92836;14927163;5;25
r;412922306;92836;15048144;5;25
r;412922904;92836;14964866;5;25
r;412922906;92836;422869;5;25
r;413456269;92836;2605366;5;25
r;413456270;92836;6887714;5;25
r;413456276;92836;7054152;5;25
r;413456279;92836;7054260;5;25
r;413456281;92836;7290990;5;25
r;413456290;92836;14930638;5;25
r;413456292;92836;14937430;5;25
r;413456295;92836;14953534;5;25
r;413456299;92836;15044411;5;25
r;59233979;92836;12529;5;30
r;72753939;92836;78814;5;30
r;77533589;92836;258709;5;30
r;98738322;92836;2435306;5;30
r;1740709;92836;136771;5;35
r;29162612;92836;1773803;5;35
r;412919458;92836;42193;5;35
r;13619756;92836;81235;5;36
r;12158126;92836;226723;5;36
r;12184550;92836;214867;5;36
r;12321548;92836;7225;5;36
r;29218643;92836;30142;5;36
r;29218647;92836;145356;5;36
r;78144600;92836;90645;5;36
r;85607968;92836;25132;5;36
r;85607969;92836;7592;5;36
r;85607970;92836;143930;5;36
r;85607988;92836;130778;5;36
r;85607990;92836;70998;5;36
r;287980197;92836;66380;5;36
r;287980198;92836;77583;5;36
r;13619689;92836;161627;5;37
r;12166482;92836;39676;5;37
r;12193473;92836;183000;5;37
r;54381756;92836;142299;5;37
r;85607971;92836;92378;5;37
r;85607973;92836;92080;5;37
r;85607974;92836;32981;5;37
r;85607979;92836;78813;5;37
r;85607986;92836;110160;5;37
r;85607989;92836;125120;5;37
r;85835630;92836;13880;5;37
r;309724658;92836;683643;5;37
r;12195778;92836;179693;5;38
r;59254939;92836;68115;5;38
r;85607976;92836;95364;5;38
r;85607978;92836;51445;5;38
r;85607980;92836;59618;5;38
r;85607981;92836;58088;5;38
r;85607982;92836;125719;5;38
r;85607984;92836;133857;5;38
r;85607985;92836;109023;5;38
