
e;61057;'top';1;180
e;13805904;'c'est top';1;4
e;13808630;'c'est pas top';1;0
e;14778222;'Évolution du top 10 de la zone CAF';777;0
e;15277858;'au 3ème top';1;0
e;15277852;'au top de';1;0
e;15277855;'au top niveau';1;0
e;15368757;'au top, au max, génial';1;0
e;15426250;'classé top secret';1;0
e;14971734;'crop top';1;0
e;15442010;'donner le top départ de [qch]';1;0
e;11103929;'Over-the-top';777;0
e;14221675;'avoir des jambes de top modèle';1;0
e;15034448;'au top niveau d'';1;0
e;15034449;'au top niveau du';1;0
e;15456314;'c'est le top du top';1;0
e;2406763;'top-secret';1;0
e;5962174;'Mission top secret';777;0
e;10842348;'Génération top 50';777;0
e;2370823;'quark top';1;0
e;6596661;'set-top';1;0
e;10047375;'top 14';777;0
e;2444065;'top case';1;0
e;11103928;'over the top';777;0
e;2391220;'au top du top';1;0
e;5988999;'Go to the top';777;0
e;5556858;'Anatomie d'un top model';777;0
e;2335091;'top-level';1;0
e;461064;'country-code top-level domain';777;50
e;3365840;'top choc, gâteau chocolat sans farine';1;0
e;2297311;'top down';1;0
e;2574791;'flat-top';1;0
e;3179612;'angio-oedème o top';777;0
e;3362789;'gâteau au chocolat top fondant';1;0
e;1436090;'high top';1;0
e;1805496;'être au top';1;0
e;384044;'top horaire';1;50
e;337528;'au top niveau de';1;50
e;54779;'top-weight';1;50
e;37481;'hard-top';1;50
e;262287;'top-down';1;12
e;226877;'top-model';1;18
e;179739;'top-modèle';1;50
e;275033;'top-level domain';777;50
e;254376;'pas top';1;12
e;171292;'au top';1;6
e;225151;'top modèle';1;70
e;240626;'top départ';1;4
e;259218;'top less';1;50
e;262833;'tip top';1;56
e;209176;'top 50';1;52
e;215098;'top gun';1;52
e;68266;'top niveau';1;50
e;155268;'top model';1;158
e;301272;'top tube';777;50
e;133855;'top secret';1;50
e;191238;'top chrono';1;50
e;196189;'atteindre le top niveau';1;50
e;162004;'top du top';1;50
r;349000304;61057;13805904;11;25
r;349001550;61057;13808630;11;25
r;375563501;61057;14778222;11;25
r;419618187;61057;15277858;11;25
r;419621196;61057;15277852;11;25
r;419621200;61057;15277855;11;25
r;419621210;61057;15368757;11;25
r;419712991;61057;15426250;11;25
r;419752573;61057;14971734;11;25
r;419790993;61057;15442010;11;25
r;281746622;61057;11103929;11;26
r;360971923;61057;14221675;11;26
r;393622260;61057;15034448;11;26
r;393627110;61057;15034449;11;26
r;419670932;61057;15456314;11;26
r;53837487;61057;2406763;11;30
r;116572704;61057;5962174;11;34
r;271591619;61057;10842348;11;35
r;51376654;61057;2370823;11;38
r;122168056;61057;6596661;11;38
r;227585745;61057;10047375;11;39
r;55319174;61057;2444065;11;40
r;281742732;61057;11103928;11;43
r;53118750;61057;2391220;11;44
r;117875337;61057;5988999;11;44
r;109880805;61057;5556858;11;48
r;18315500;61057;584299;11;54
r;34154803;61057;2335091;11;54
r;16176127;61057;461064;11;55
r;53856631;61057;2586088;11;55
r;86183862;61057;3365840;11;55
r;33104118;61057;2297311;11;56
r;52657462;61057;2574791;11;56
r;76724390;61057;3179612;11;57
r;18315494;61057;584300;11;59
r;86209157;61057;3362789;11;59
r;18557629;61057;591426;11;60
r;18557722;61057;591427;11;60
r;23738474;61057;1436090;11;60
r;53856627;61057;2586089;11;60
r;29534008;61057;1805496;11;63
r;12565357;61057;384044;11;103
r;12755541;61057;337528;11;110
r;11870258;61057;54779;11;121
r;11872870;61057;37481;11;121
r;11850496;61057;262287;11;122
r;11852003;61057;226877;11;122
r;11853919;61057;179739;11;122
r;8882906;61057;275033;11;153
r;8718377;61057;254376;11;160
r;8633691;61057;171292;11;161
r;8695423;61057;225151;11;161
r;8706738;61057;240626;11;161
r;8725248;61057;259218;11;161
r;8729812;61057;262833;11;161
r;8683156;61057;209176;11;162
r;8689637;61057;215098;11;162
r;8593108;61057;68266;11;163
r;8624394;61057;155268;11;163
r;8767825;61057;301272;11;163
r;8616295;61057;133855;11;164
r;8653604;61057;191238;11;164
r;8661055;61057;196189;11;164
r;8627743;61057;162004;11;300
