
e;69550;'travailler';1;3026
e;2102411;'travaillions';2;0
e;2102355;'travaillaient';2;0
e;1978184;'travaillez';1;0
e;2102357;'travaillais';2;0
e;2102368;'travaillassiez';2;0
e;2102373;'travaillât';2;0
e;2102410;'travailliez';2;0
e;2102385;'travaillera';2;0
e;2102366;'travaillasses';2;0
e;2102388;'travailleriez';2;0
e;259182;'travaillée';1;92
e;2102362;'travaillait';2;0
e;2102372;'travailla';2;0
e;2102379;'travailleraient';2;0
e;2102378;'travaillent';2;0
e;5450;'travaillant';1;112
e;259181;'travaillés';1;78
e;2102419;'travaillons';2;0
e;2102370;'travaillas';2;0
e;2102395;'travailles';2;0
e;259180;'travaillées';1;88
e;220309;'travaille';1;66
e;2102382;'travaillerait';2;0
e;2102386;'travaillèrent';2;0
e;2102363;'travaillâmes';2;0
e;2102361;'travaillai';2;0
e;2102371;'travaillâtes';2;0
e;2102389;'travaillerions';2;0
e;108088;'travaillé';1;162
e;2102369;'travaillassions';2;0
e;2102381;'travaillerai';2;0
e;2102390;'travaillerons';2;0
e;2102387;'travaillerez';2;0
e;2102365;'travaillassent';2;0
e;2102367;'travaillasse';2;0
e;2102380;'travaillerais';2;0
e;2102384;'travailleras';2;0
e;2102392;'travailleront';2;0
r;338716;69550;69550;19;53
r;32179367;2102411;69550;19;51
r;32451324;2102355;69550;19;51
r;338716;69550;69550;19;53
r;32075708;1978184;69550;19;53
r;32179324;2102357;69550;19;53
r;32451419;2102368;69550;19;53
r;32451472;2102373;69550;19;53
r;32179365;2102410;69550;19;54
r;32451572;2102385;69550;19;55
r;32451397;2102366;69550;19;56
r;32451595;2102388;69550;19;56
r;12111859;259182;69550;19;57
r;32451356;2102362;69550;19;57
r;32451456;2102372;69550;19;57
r;32451508;2102379;69550;19;57
r;32451500;2102378;69550;19;58
r;338715;5450;69550;19;59
r;12111866;259181;69550;19;59
r;32179369;2102419;69550;19;59
r;32451435;2102370;69550;19;59
r;32451628;2102395;69550;19;59
r;12111853;259180;69550;19;60
r;12111869;220309;69550;19;60
r;32451546;2102382;69550;19;60
r;32451580;2102386;69550;19;61
r;32451370;2102363;69550;19;62
r;32451345;2102361;69550;19;63
r;32451447;2102371;69550;19;63
r;32451602;2102389;69550;19;63
r;338718;108088;69550;19;64
r;32451425;2102369;69550;19;64
r;32451536;2102381;69550;19;65
r;32451612;2102390;69550;19;65
r;32451588;2102387;69550;19;66
r;32451390;2102365;69550;19;67
r;32451407;2102367;69550;19;67
r;32451519;2102380;69550;19;67
r;32451558;2102384;69550;19;68
r;32451621;2102392;69550;19;68
