
e;71467;'télévision';1;3480
e;127876;'télédistribution';1;50
e;143676;'TV';1;176
e;166732;'Commissaire Moulin';1;50
e;22083;'diffuseur';1;56
e;133269;'tévé';1;50
e;164860;'poste de télévision';1;72
e;187314;'le petit écran';1;50
e;23259;'télécommunication';1;90
e;34220;'télé';1;872
e;35800;'téléviseur';1;114
e;115948;'petit écran';1;94
r;416583890;71467;14964049;5;10
r;310091051;71467;593796;5;22
r;391141320;71467;7183842;5;25
r;416167651;71467;15314797;5;25
r;416167652;71467;14954162;5;25
r;702911;71467;127876;5;27
r;12168248;71467;143676;5;27
r;12206598;71467;166732;5;27
r;702907;71467;22083;5;28
r;367066016;71467;133269;5;28
r;310046336;71467;597554;5;29
r;1738787;71467;164860;5;30
r;702910;71467;187314;5;34
r;54851381;71467;23259;5;60
r;702908;71467;34220;5;84
r;702909;71467;35800;5;84
r;1738786;71467;115948;5;85
r;397990799;15329265;71467;5;10
r;397990954;14964048;71467;5;10
r;365989642;133269;71467;5;25
r;1054344;166732;71467;5;28
r;3235287;143676;71467;5;28
r;12236805;22083;71467;5;32
r;309319744;593796;71467;5;33
r;309352273;597554;71467;5;33
r;728954;127876;71467;5;34
r;12189547;164860;71467;5;37
r;399816890;14964049;71467;5;40
r;54857856;23259;71467;5;53
r;576480;35800;71467;5;80
r;391024670;7183842;71467;5;80
r;400346315;15314797;71467;5;145
r;402208410;14954162;71467;5;145
r;737121;187314;71467;5;147
r;12189549;115948;71467;5;147
r;576477;34220;71467;5;185
