
e;42271;'un';1;2416
e;155102;'un pour tous et tous pour un';1;50
e;157967;'numéro un';1;60
e;155786;'tous pour un';1;50
e;57268;'un à un';1;52
e;166159;'un tiens vaut mieux que deux tu l'auras';1;50
e;155785;'les uns et les autres';1;50
e;137506;'quelqu'un';1;4354
e;155787;'un pour tous';1;54
e;5490;'un par un';1;56
e;155789;'un deux trois';1;60
e;66754;'un seul';1;68
r;310674608;42271;8972698;11;15
r;310674609;42271;440256;11;25
r;310674610;42271;737066;11;30
r;310674611;42271;3183285;11;30
r;310674612;42271;3183464;11;30
r;310674613;42271;581722;11;30
r;310674614;42271;736889;11;30
r;310674615;42271;2580367;11;30
r;310674616;42271;3184535;11;30
r;310674617;42271;3311527;11;30
r;310674618;42271;458200;11;30
r;310674619;42271;441405;11;30
r;310674620;42271;3332412;11;30
r;310674621;42271;3185961;11;30
r;310674622;42271;3183990;11;30
r;310674623;42271;576158;11;30
r;310674624;42271;441406;11;30
r;310674625;42271;2580368;11;30
r;310674626;42271;3311528;11;30
r;310674627;42271;737067;11;30
r;310674628;42271;3183286;11;30
r;310674629;42271;3185962;11;30
r;310674630;42271;458201;11;30
r;310674631;42271;3183465;11;30
r;310674632;42271;3183991;11;30
r;310674633;42271;596983;11;30
r;310674634;42271;3184536;11;30
r;310674635;42271;581723;11;30
r;310674636;42271;3332413;11;30
r;310674637;42271;736890;11;30
r;180990;42271;155102;11;53
r;405410;42271;157967;11;54
r;197712;42271;155786;11;55
r;180992;42271;57268;11;56
r;427367;42271;166159;11;57
r;197711;42271;155785;11;59
r;180989;42271;137506;11;60
r;197713;42271;155787;11;60
r;180991;42271;5490;11;70
r;197826;42271;155789;11;80
r;256008;42271;66754;11;109
