
e;217182;'vides';1;64
e;13542139;'Les Naufrageurs aux yeux vides';777;0
e;14506299;'bouteilles vides';1;16
e;6430456;'syndromes des selles turciques vides';1;0
e;15361768;'emballages vides';1;0
e;6437755;'doses unitaires de l'emballage vides';1;0
e;16040243;'avoir les mains vides';1;0
e;5921386;'listes de vides et de supervides astronomiques';777;0
e;10050044;'Têtes vides cherchent coffres pleins';777;0
e;10933632;'poches vides';1;0
e;5557803;'normes de comportement des revêtements de protection des espaces vides des vraquiers et des pétroliers';777;0
e;15193477;'Des bouteilles vides s'entassaient sur les étagères.';1;0
e;3757283;'vol-au-vent vides';1;0
e;373850;'propos vides';1;50
e;362756;'mains vides';1;50
e;340971;'caisses vides';1;50
e;370262;'phrases vides';1;50
e;368805;'paroles vides';1;50
e;361188;'les mains vides';1;50
e;257021;'arriver les mains vides';1;50
e;262389;'calories vides';1;62
e;310701;'mots vides';777;50
r;310281599;217182;9023645;11;25
r;343161635;217182;13542139;11;26
r;368356857;217182;14506299;11;26
r;122692293;217182;6430456;11;28
r;419834328;217182;15361768;11;30
r;121548084;217182;6437755;11;32
r;419634670;217182;16040243;11;32
r;115840565;217182;5921386;11;35
r;227579736;217182;10050044;11;39
r;275039644;217182;10933632;11;39
r;109877888;217182;5557803;11;40
r;395032175;217182;15193477;11;50
r;93667560;217182;3757283;11;58
r;12606543;217182;373850;11;101
r;12651463;217182;362756;11;107
r;12741283;217182;340971;11;107
r;12621401;217182;370262;11;109
r;12627273;217182;368805;11;109
r;12657925;217182;361188;11;110
r;8722129;217182;257021;11;161
r;8729208;217182;262389;11;161
r;8776567;217182;310701;11;163
