
e;251167;'vue sur la mer';1;28
e;98040;'architecture';1;988
e;133093;'urbanisme';1;446
e;53789;'côtes';1;90
e;16168510;'disposition architecturale';1;0
e;190673;'bien immobilier';1;32
e;131478;'label';1;124
e;419076;'hôtels';1;52
e;16168511;'locations de vacances';1;0
e;273217;'campings';777;50
e;73670;'paysage';1;706
e;106251;'sur';1;152
e;10190221;'vue sur mer';777;0
e;15208380;'vue mer';1;0
e;141949;'côte';1;424
e;12717;'balcon';1;296
e;122393;'plage';1;3260
e;9664;'océan';1;3182
e;104428;'contempler';1;142
e;105814;'regarder';1;3588
e;85956;'admirer';1;542
e;126758;'vacances';1;3678
e;146020;'villégiature';1;94
e;50410;'vacance';1;224
e;84676;'voir';1;2498
e;91329;'bord de mer';1;204
e;251166;'chambre avec vue';1;2
e;156334;'baie vitrée';1;68
e;111663;'littoral';1;140
e;154008;'chambre d'hôtel';1;188
e;102000;'hôtel';1;1498
e;2938;'location';1;436
e;141906;'fenêtre';1;2402
e;18309;'résidence';1;298
e;9575;'tourisme';1;1208
e;90075;'chambre';1;5104
e;80735;'hébergement';1;130
e;143529;'voyage';1;2434
e;125533;'terrasse';1;612
e;69362;'panorama';1;112
e;10955;'hôtellerie';1;158
e;46879;'sud';1;1108
e;159838;'hôtel de luxe';1;106
e;41682;'été';1;2438
e;91358;'appartement';1;2628
e;146105;'mer';1;9176
e;102816;'vue';1;1300
e;251171;'vue imprenable';1;18
e;232794;'Chambre avec vue';1;2
r;431399043;251167;98040;0;10
r;431399044;251167;2609689;0;10
r;431399045;251167;133093;0;10
r;431399046;251167;53789;0;10
r;431399047;251167;1890939;0;10
r;431399048;251167;16168510;0;10
r;431399050;251167;233638;0;10
r;431399051;251167;190673;0;10
r;431399052;251167;131478;0;10
r;431399053;251167;419076;0;10
r;431399054;251167;16168511;0;10
r;431399055;251167;273217;0;10
r;431399056;251167;73670;0;10
r;431399057;251167;215730;0;10
r;431399058;251167;396367;0;10
r;431399059;251167;106251;0;10
r;431399060;251167;233639;0;10
r;431399062;251167;10190221;0;10
r;431399063;251167;15208380;0;10
r;427912727;251167;215732;0;11
r;415517560;251167;15208381;0;25
r;2520722;251167;141949;0;26
r;2520744;251167;12717;0;26
r;2520747;251167;122393;0;26
r;76281986;251167;226984;0;26
r;366285648;251167;321962;0;26
r;2520726;251167;9664;0;27
r;2520738;251167;104428;0;27
r;2520740;251167;105814;0;27
r;2520724;251167;85956;0;28
r;2520739;251167;126758;0;28
r;2520749;251167;146020;0;28
r;76281988;251167;50410;0;28
r;2520741;251167;84676;0;29
r;2520745;251167;91329;0;29
r;2520751;251167;251166;0;29
r;2520743;251167;156334;0;30
r;2520723;251167;111663;0;31
r;2520733;251167;154008;0;31
r;2520734;251167;102000;0;31
r;2520742;251167;2938;0;31
r;76281989;251167;267888;0;31
r;2520725;251167;141906;0;32
r;2520736;251167;18309;0;32
r;2520746;251167;9575;0;32
r;2520752;251167;90075;0;32
r;15341653;251167;80735;0;32
r;76281990;251167;143529;0;32
r;2520735;251167;125533;0;34
r;2520750;251167;69362;0;34
r;15341652;251167;10955;0;34
r;76281987;251167;237118;0;34
r;76281991;251167;46879;0;34
r;2520732;251167;159838;0;35
r;76281993;251167;252024;0;35
r;76281992;251167;41682;0;37
r;9083146;251167;321951;0;40
r;2520748;251167;91358;0;42
r;2520753;251167;146105;0;157
r;2520737;251167;102816;0;187
r;23928969;251167;239128;0;1000000
r;98344300;90075;251167;0;10
r;431399162;15432609;251167;0;10
r;98113013;226984;251167;0;15
r;369995313;102000;251167;0;15
r;15268069;2938;251167;0;21
r;366285647;321951;251167;0;25
r;366285649;321962;251167;0;25
r;15268067;10955;251167;0;26
r;3126479;267888;251167;0;27
r;15268066;9575;251167;0;27
r;15268065;126758;251167;0;28
r;15268068;80735;251167;0;29
r;2520493;251166;251167;0;35
r;2520606;251171;251167;0;35
r;84994575;232794;251167;0;35
r;415517559;15208381;251167;0;35
r;423935233;10190221;251167;0;35
r;10908871;102816;251167;0;60
