
e;10190221;'vue sur mer';777;0
e;15208380;'vue mer';1;0
e;98040;'architecture';1;990
e;133093;'urbanisme';1;446
e;141906;'fenêtre';1;2404
e;125533;'terrasse';1;612
e;53789;'côtes';1;90
e;16168510;'disposition architecturale';1;0
e;251167;'vue sur la mer';1;28
e;190673;'bien immobilier';1;32
e;131478;'label';1;124
e;419076;'hôtels';1;52
e;16168511;'locations de vacances';1;0
e;273217;'campings';777;50
e;9575;'tourisme';1;1208
e;154008;'chambre d'hôtel';1;188
e;73670;'paysage';1;706
e;90075;'chambre';1;5104
e;106251;'sur';1;152
e;69362;'panorama';1;112
e;102000;'hôtel';1;1498
e;146105;'mer';1;9176
e;111663;'littoral';1;140
e;102816;'vue';1;1300
r;431115683;10190221;15208380;0;20
r;415678627;10190221;15208381;0;25
r;423935221;10190221;98040;0;25
r;423935239;10190221;2609689;0;25
r;423935222;10190221;133093;0;35
r;423935224;10190221;141906;0;35
r;423935226;10190221;125533;0;35
r;423935228;10190221;53789;0;35
r;423935229;10190221;1890939;0;35
r;423935231;10190221;16168510;0;35
r;423935233;10190221;251167;0;35
r;423935220;10190221;233638;0;45
r;423935223;10190221;190673;0;45
r;423935234;10190221;131478;0;45
r;423935236;10190221;419076;0;45
r;423935237;10190221;16168511;0;45
r;423935238;10190221;273217;0;45
r;423935241;10190221;9575;0;45
r;423935644;10190221;154008;0;51
r;423935645;10190221;73670;0;51
r;423935646;10190221;215730;0;51
r;423935647;10190221;396367;0;51
r;423935648;10190221;90075;0;51
r;423935649;10190221;106251;0;51
r;423935650;10190221;233639;0;51
r;423935225;10190221;69362;0;55
r;423935232;10190221;102000;0;55
r;423935240;10190221;215732;0;65
r;242257097;10190221;146105;0;76
r;423935227;10190221;111663;0;85
r;242257095;10190221;102816;0;96
r;241763525;10190221;239128;0;1000000
r;431399062;251167;10190221;0;10
r;415678626;15208381;10190221;0;25
