
e;70134;'à';1;158
e;968;'à dessein';1;60
e;539;'à tu et à toi';1;50
e;1774;'à discrétion';1;50
e;918;'à demeure';1;50
e;1293;'à cran';1;50
r;310679174;70134;441224;11;25
r;310679175;70134;574959;11;25
r;310679177;70134;586293;11;25
r;310679178;70134;3186346;11;25
r;310679181;70134;574960;11;25
r;310679182;70134;3186347;11;25
r;310679184;70134;586294;11;25
r;8980951;70134;968;11;27
r;310679180;70134;441225;11;27
r;8980929;70134;539;11;29
r;8981006;70134;1774;11;29
r;8980949;70134;918;11;31
r;8980976;70134;1293;11;32
