
e;13369;'être';1;1058
e;1522;'être hors de soi';1;74
e;378;'être persuadé';1;64
e;221;'être démodé';1;54
e;160911;'être ou avoir';1;50
e;112601;'peut-être';1;98
e;87363;'bien-être';1;596
e;24956;'être humain';1;814
e;29859;'mal-être';1;158
e;71624;'être vivant';1;1882
e;153439;'être ou ne pas être';1;78
r;8980991;13369;1522;11;28
r;8980921;13369;378;11;29
r;310675012;13369;595362;11;30
r;8980913;13369;221;11;35
r;265559;13369;160911;11;53
r;217638;13369;112601;11;60
r;240727;13369;87363;11;60
r;2010499;13369;24956;11;60
r;205252;13369;29859;11;70
r;206121;13369;71624;11;104
r;137914;13369;153439;11;160
